well,full_sample_id
A1,StandardA
A2,POC-175
A3,POC-466-20220515
A4,POC-467-20220515
A5,StandardC
A6,POC-468-20220515
A7,POC-469-20220515
A8,POC-470-20220515
A9,POC-471-20220515
A10,POC-472-20220515
A11,POC-473-20220515
A12,POC-474-20220515
B1,StandardA
B2,POC-175
B3,POC-466-20220515
B4,POC-467-20220515
B5,StandardC
B6,POC-468-20220515
B7,POC-469-20220515
B8,POC-470-20220515
B9,POC-471-20220515
B10,POC-472-20220515
B11,POC-473-20220515
B12,POC-474-20220515
C1,POC-475-20220515
C2,POC-476-20220515
C3,StandardB
C4,POC-477-20220517
C5,POC-478-20220517
C6,POC-479-20220517
C7,POC-480-20220517
C8,StandardE
C9,POC-481-20220517
C10,POC-482-20220517
C11,POC-483-20220517
C12,POC-484-20220517
D1,POC-475-20220515
D2,POC-476-20220515
D3,StandardB
D4,POC-477-20220517
D5,POC-478-20220517
D6,POC-479-20220517
D7,POC-480-20220517
D8,StandardE
D9,POC-481-20220517
D10,POC-482-20220517
D11,POC-483-20220517
D12,POC-484-20220517
E1,POC-466-20220917
E2,StandardF
E3,POC-467-20220917
E4,POC-468-20220917
E5,POC-469-20220917
E6,POC-470-20220917
E7,POC-471-20220917
E8,POC-472-20220917
E9,POC-473-20220917
E10,POC-474-20220917
E11,StandardD
E12,POC-475-20220917
F1,POC-466-20220917
F2,StandardF
F3,POC-467-20220917
F4,POC-468-20220917
F5,POC-469-20220917
F6,POC-470-20220917
F7,POC-471-20220917
F8,POC-472-20220917
F9,POC-473-20220917
F10,POC-474-20220917
F11,StandardD
F12,POC-475-20220917
G1,POC-476-20220930
G2,POC-477-20220930
G3,POC-478-20220930
G4,POC-479-20220930
G5,POC-480-20220930
G6,StandardG
G7,POC-481-20220930
G8,POC-482-20220930
G9,StandardH
G10,POC-483-20220930
G11,POC-484-20220930
G12,StandardI
H1,POC-476-20220930
H2,POC-477-20220930
H3,POC-478-20220930
H4,POC-479-20220930
H5,POC-480-20220930
H6,StandardG
H7,POC-481-20220930
H8,POC-482-20220930
H9,StandardH
H10,POC-483-20220930
H11,POC-484-20220930
H12,StandardI
