Software Version,3.05.11,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\20240204_Holobiont_POC_BCA_August_October.xpt,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\BCA_Protein.prt,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,
Date,2/4/24,,,,,,,,,,,,
Time,12:53:42 PM,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,
Reader Serial Number:,19041023,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,
,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,
Read,562,,,,,,,,,,,,
,Absorbance Endpoint,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,
,Wavelengths:  562,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,23.6,,,,,,,,,,,,
,,,,,,,,,,,,,
Results,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,2.209,1.831,1.724,1.558,1.362,1.447,1.741,1.799,1.507,1.519,1.2,1.388,562:562
B,2.279,2.89,1.887,1.71,1.374,1.336,1.726,1.794,1.354,1.538,1.167,1.461,562:562
C,2.322,2.156,1.308,1.107,0.816,0.494,0.329,0.167,0.142,1.395,1.796,1.157,562:562
D,2.471,1.722,1.273,1.026,0.794,0.508,0.326,0.165,0.13,1.343,1.968,1.166,562:562
E,1.42,1.24,1.418,1.161,2.661,3.277,2.856,1.72,2.498,2.864,2.598,3.128,562:562
F,1.341,1.393,1.438,1.193,3.347,3.404,3.04,1.348,2.497,2.983,2.739,3.097,562:562
G,2.559,1.945,1.128,1.233,1.116,1.399,1.502,1.399,1.512,1.611,1.747,0.196,562:562
H,2.718,2.122,1.249,1.378,1.207,1.399,1.555,1.634,1.502,1.654,1.907,0.199,562:562
