Software Version,3.05.11,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\20240202_BCAProtein_POC-Gameto.xpt,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\BCA_Protein.prt,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,
Date,2/2/24,,,,,,,,,,,,
Time,1:20:49 PM,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,
Reader Serial Number:,19041023,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,
,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,
Read,562,,,,,,,,,,,,
,Absorbance Endpoint,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,
,Wavelengths:  562,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,25.5,,,,,,,,,,,,
,,,,,,,,,,,,,
Results,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.475,2.469,1.571,2.547,1.13,1.487,2.624,2.631,2.328,2.194,1.728,1.937,562:562
B,1.422,2.488,1.45,2.583,1.128,1.556,2.511,2.878,2.113,2.164,1.639,1.9,562:562
C,1.859,1.653,1.377,0.591,2.613,1.069,0.576,1.486,2.364,1.238,1.518,0.046,562:562
D,1.903,1.698,1.509,0.584,2.777,1.132,0.492,1.504,2.301,1.187,1.597,0.045,562:562
E,1.944,1.665,2.075,1.756,1.563,1.208,1.119,1.501,1.835,0.883,1.164,1.042,562:562
F,2.023,1.725,2.183,1.799,1.027,1.165,1.093,1.557,1.897,0.796,1.58,1.073,562:562
G,1.978,1.559,0.299,1.359,2.304,1.13,0.15,1.476,2.036,0.971,1.398,0.083,562:562
H,2.146,1.585,0.304,1.393,2.468,1.144,0.136,1.484,2.09,1.008,1.423,0.07,562:562
