well,full_sample_id
A1,StandardA
A2,StandardB
A3,StandardC
A4,StandardD
A5,StandardE
A6,StandardF
A7,StandardG
A8,StandardH
A9,StandardI
A10,POC-466-20220616
A11,POC-467-20220616
A12,POC-468-20220616
B1,StandardA
B2,StandardB
B3,StandardC
B4,StandardD
B5,StandardE
B6,StandardF
B7,StandardG
B8,StandardH
B9,StandardI
B10,POC-466-20220616
B11,POC-467-20220616
B12,POC-468-20220616
C1,POC-469-20220616
C2,POC-470-20220616
C3,POC-471-20220616
C4,POC-472-20220616
C5,POC-473-20220616
C6,POC-474-20220616
C7,POC-475-20220616
C8,POC-476-20220617
C9,POC-477-20220617
C10,POC-478-20220617
C11,POC-479-20220617
C12,POC-480-20220617
D1,POC-469-20220616
D2,POC-470-20220616
D3,POC-471-20220616
D4,POC-472-20220616
D5,POC-473-20220616
D6,POC-474-20220616
D7,POC-475-20220616
D8,POC-476-20220617
D9,POC-477-20220617
D10,POC-478-20220617
D11,POC-479-20220617
D12,POC-480-20220617
E1,POC-481-20220617
E2,POC-482-20220617
E3,POC-483-20220617
E4,POC-485-20220617
E5,POC-466-20221104
E6,POC-467-20221104
E7,POC-468-20221104
E8,POC-469-20221104
E9,POC-470-20221104
E10,POC-471-20221104
E11,POC-472-20221104
E12,POC-473-20221104
F1,POC-481-20220617
F2,POC-482-20220617
F3,POC-483-20220617
F4,POC-485-20220617
F5,POC-466-20221104
F6,POC-467-20221104
F7,POC-468-20221104
F8,POC-469-20221104
F9,POC-470-20221104
F10,POC-471-20221104
F11,POC-472-20221104
F12,POC-473-20221104
G1,POC-474-20221104
G2,POC-475-20221104
G3,POC-476-20221115
G4,POC-477-20221115
G5,POC-478-20221115
G6,POC-479-20221115
G7,POC-480-20221115
G8,POC-481-20221115
G9,POC-482-20221115
G10,POC-483-20221115
G11,POC-484-20221115
G12,NA
H1,POC-474-20221104
H2,POC-475-20221104
H3,POC-476-20221115
H4,POC-477-20221115
H5,POC-478-20221115
H6,POC-479-20221115
H7,POC-480-20221115
H8,POC-481-20221115
H9,POC-482-20221115
H10,POC-483-20221115
H11,POC-484-20221115
H12,NA
