well,full_sample_id
A1,POC-466-20220414
A2,StandardA
A3,POC-467-20220414
A4,POC-468-20220414
A5,POC-469-20220414
A6,POC-470-20220414
A7,StandardB
A8,POC-471-20220414
A9,POC-472-20220414
A10,POC-473-20220414
A11,POC-474-20220414
A12,POC-475-20220414
B1,POC-466-20220414
B2,StandardA
B3,POC-467-20220414
B4,POC-468-20220414
B5,POC-469-20220414
B6,POC-470-20220414
B7,StandardB
B8,POC-471-20220414
B9,POC-472-20220414
B10,POC-473-20220414
B11,POC-474-20220414
B12,POC-475-20220414
C1,POC-476-20220413
C2,POC-477-20220413
C3,StandardC
C4,POC-478-20220413
C5,POC-479-20220413
C6,POC-480-20220413
C7,StandardF
C8,POC-481-20220413
C9,POC-482-20220413
C10,POC-483-20220413
C11,POC-484-20220413
C12,NA
D1,POC-476-20220413
D2,POC-477-20220413
D3,StandardC
D4,POC-478-20220413
D5,POC-479-20220413
D6,POC-480-20220413
D7,StandardF
D8,POC-481-20220413
D9,POC-482-20220413
D10,POC-483-20220413
D11,POC-484-20220413
D12,NA
E1,POC-466-20220727
E2,POC-467-20220727
E3,POC-468-20220727
E4,POC-469-20220727
E5,StandardD
E6,POC-470-20220727
E7,POC-471-20220727
E8,POC-472-20220727
E9,POC-473-20220727
E10,StandardE
E11,POC-474-20220727
E12,POC-475-20220727
F1,POC-466-20220727
F2,POC-467-20220727
F3,POC-468-20220727
F4,POC-469-20220727
F5,StandardD
F6,POC-470-20220727
F7,POC-471-20220727
F8,POC-472-20220727
F9,POC-473-20220727
F10,StandardE
F11,POC-474-20220727
F12,POC-475-20220727
G1,POC-476-20220729
G2,POC-477-20220729
G3,StandardG
G4,POC-478-20220729
G5,POC-479-20220729
G6,POC-480-20220729
G7,StandardH
G8,POC-481-20220729
G9,POC-482-20220729
G10,POC-483-20220729
G11,POC-484-20220729
G12,StandardI
H1,POC-476-20220729
H2,POC-477-20220729
H3,StandardG
H4,POC-478-20220729
H5,POC-479-20220729
H6,POC-480-20220729
H7,StandardH
H8,POC-481-20220729
H9,POC-482-20220729
H10,POC-483-20220729
H11,POC-484-20220729
H12,StandardI
