Software Version,3.05.11,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\20240204_BCA_June_Nov_Holo.xpt,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\BCA_Protein.prt,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,
Date,2/4/24,,,,,,,,,,,,
Time,1:33:42 PM,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,
Reader Serial Number:,19041023,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,
,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,
Read,562,,,,,,,,,,,,
,Absorbance Endpoint,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,
,Wavelengths:  562,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,24.7,,,,,,,,,,,,
,,,,,,,,,,,,,
Results,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,2.413,1.854,1.441,1.078,0.798,0.469,0.28,0.119,0.084,1.63,3.001,2.399,562:562
B,2.369,1.867,1.375,1.095,0.833,0.483,0.285,0.116,0.08,1.632,2.838,2.359,562:562
C,3.182,2.349,2.165,3.067,1.827,2.446,3.011,0.9,2.417,1.93,2.855,1.873,562:562
D,3.091,2.477,2.288,3.118,2.074,2.154,3,0.926,2.41,2.13,2.926,1.958,562:562
E,2.706,2.248,2.414,1.522,3.264,1.473,3.045,1.883,OVRFLW,3.004,3.022,2.48,562:562
F,2.712,2.107,2.498,1.458,3.457,1.547,3.365,1.993,3.925,3.035,3.212,2.599,562:562
G,OVRFLW,3.054,1.54,1.178,1.279,2.061,1.073,1.456,0.861,1.842,1.214,0.043,562:562
H,OVRFLW,3.22,1.557,1.325,1.336,2.181,1.137,1.692,0.887,1.976,1.23,0.046,562:562
