Well,562:562
A1,2.52
B1,2.253
C1,0.884
D1,0.921
E1,1.864
F1,1.903
G1,1.527
H1,1.937
A2,1.398
B2,1.394
C2,1.442
D2,1.454
E2,0.421
F2,0.441
G2,1.31
H2,1.415
A3,1.442
B3,1.624
C3,1.763
D3,1.512
E3,1.706
F3,1.711
G3,1.394
H3,1.442
A4,1.471
B4,1.53
C4,1.741
D4,1.669
E4,1.476
F4,1.657
G4,1.436
H4,1.514
A5,1.36
B5,1.287
C5,1.28
D5,1.194
E5,1.369
F5,1.398
G5,0.977
H5,0.881
A6,1.403
B6,1.611
C6,1.337
D6,1.312
E6,1.313
F6,1.313
G6,0.303
H6,0.275
A7,1.1
B7,1.351
C7,0.911
D7,0.906
E7,1.453
F7,1.49
G7,1.729
H7,1.804
A8,0.886
B8,0.878
C8,0.726
D8,0.697
E8,2.215
F8,2.248
G8,0.972
H8,1.029
A9,1.28
B9,1.288
C9,1.255
D9,1.077
E9,1.49
F9,1.554
G9,1.689
H9,1.818
A10,0.907
B10,0.905
C10,0.868
D10,0.877
E10,1.792
F10,1.817
G10,0.115
H10,0.112
A11,1.524
B11,1.5
C11,1.172
D11,1.445
E11,1.292
F11,1.034
G11,0.934
H11,0.963
A12,1.369
B12,1.589
C12,1.03
D12,0.812
E12,0.758
F12,0.84
G12,0.078
H12,0.078
