well,full_sample_id
A1,POC-466-20220126
A2,POC-467-20220126
A3,POC-468-20220126
A4,POC-469-20220126
A5,POC-470-20220126
A6,POC-471-20220126
A7,POC-472-20220126
A8,POC-473-20220126
A9,POC-474-20220126
A10,POC-475-20220126
A11,POC-485-20220413
A12,POC-485-20220729
B1,POC-466-20220126
B2,POC-467-20220126
B3,POC-468-20220126
B4,POC-469-20220126
B5,POC-470-20220126
B6,POC-471-20220126
B7,POC-472-20220126
B8,POC-473-20220126
B9,POC-474-20220126
B10,POC-475-20220126
B11,POC-485-20220413
B12,POC-485-20220729
C1,POC-485-20220517
C2,POC-485-20220930
C3,POC-485-20220812
C4,POC-485-20221017
C5,POC-485-20221104
C6,NA
C7,NA
C8,NA
C9,NA
C10,NA
C11,NA
C12,NA
D1,POC-485-20220517
D2,POC-485-20220930
D3,POC-485-20220812
D4,POC-485-20221017
D5,POC-485-20221104
D6,NA
D7,NA
D8,NA
D9,NA
D10,NA
D11,NA
D12,NA
E1,NA
E2,NA
E3,NA
E4,NA
E5,NA
E6,NA
E7,NA
E8,NA
E9,NA
E10,NA
E11,NA
E12,NA
F1,NA
F2,NA
F3,NA
F4,NA
F5,NA
F6,NA
F7,NA
F8,NA
F9,NA
F10,NA
F11,NA
F12,NA
G1,StandardA
G2,StandardB
G3,StandardC
G4,StandardD
G5,StandardE
G6,StandardF
G7,StandardG
G8,StandardH
G9,StandardI
G10,NA
G11,POC-474-20221115
G12,POC-470-20221115
H1,StandardA
H2,StandardB
H3,StandardC
H4,StandardD
H5,StandardE
H6,StandardF
H7,StandardG
H8,StandardH
H9,StandardI
H10,NA
H11,POC-474-20221115
H12,POC-470-20221115
