well,full_sample_id
A1,POC-466-20220811
A2,POC-467-20220811
A3,POC-468-20220811
A4,POC-469-20220811
A5,POC-470-20220811
A6,POC-471-20220811
A7,POC-472-20220811
A8,POC-473-20220811
A9,POC-474-20220811
A10,POC-475-20220811
A11,POC-476-20220812
A12,POC-477-20220812
B1,POC-466-20220811
B2,POC-467-20220811
B3,POC-468-20220811
B4,POC-469-20220811
B5,POC-470-20220811
B6,POC-471-20220811
B7,POC-472-20220811
B8,POC-473-20220811
B9,POC-474-20220811
B10,POC-475-20220811
B11,POC-476-20220812
B12,POC-477-20220812
C1,StandardA
C2,StandardB
C3,StandardC
C4,StandardD
C5,StandardE
C6,StandardF
C7,StandardG
C8,StandardH
C9,StandardI
C10,POC-478-20220812
C11,POC-479-20220812
C12,POC-480-20220812
D1,StandardA
D2,StandardB
D3,StandardC
D4,StandardD
D5,StandardE
D6,StandardF
D7,StandardG
D8,StandardH
D9,StandardI
D10,POC-478-20220812
D11,POC-479-20220812
D12,POC-480-20220812
E1,POC-481-20220812
E2,POC-482-20220812
E3,POC-483-20220812
E4,POC-484-20220812
E5,POC-466-20221015
E6,POC-467-20221015
E7,POC-468-20221015
E8,POC-469-20221015
E9,POC-470-20221015
E10,POC-471-20221015
E11,POC-472-20221015
E12,POC-473-20221015
F1,POC-481-20220812
F2,POC-482-20220812
F3,POC-483-20220812
F4,POC-484-20220812
F5,POC-466-20221015
F6,POC-467-20221015
F7,POC-468-20221015
F8,POC-469-20221015
F9,POC-470-20221015
F10,POC-471-20221015
F11,POC-472-20221015
F12,POC-473-20221015
G1,POC-474-20221015
G2,POC-475-20221015
G3,POC-476-20221017
G4,POC-477-20221017
G5,POC-478-20221017
G6,POC-479-20221017
G7,POC-480-20221017
G8,POC-481-20221017
G9,POC-482-20221017
G10,POC-483-20221017
G11,POC-484-20221017
G12,NA
H1,POC-474-20221015
H2,POC-475-20221015
H3,POC-476-20221017
H4,POC-477-20221017
H5,POC-478-20221017
H6,POC-479-20221017
H7,POC-480-20221017
H8,POC-481-20221017
H9,POC-482-20221017
H10,POC-483-20221017
H11,POC-484-20221017
H12,NA
