Tag,Species,Site,Patch,Sample.Date,Timepoint,date
474,Pocillopora,Lagoon,P1,20220126,1,1/26/22
475,Pocillopora,Lagoon,P1,20220126,1,1/26/22
472,Pocillopora,Lagoon,P2,20220126,1,1/26/22
473,Pocillopora,Lagoon,P2,20220126,1,1/26/22
466,Pocillopora,Lagoon,P3,20220126,1,1/26/22
467,Pocillopora,Lagoon,P3,20220126,1,1/26/22
468,Pocillopora,Lagoon,P4,20220126,1,1/26/22
469,Pocillopora,Lagoon,P4,20220126,1,1/26/22
470,Pocillopora,Lagoon,P5,20220126,1,1/26/22
471,Pocillopora,Lagoon,P5,20220126,1,1/26/22
474,Pocillopora,Lagoon,P1,20220215,2,2/15/22
475,Pocillopora,Lagoon,P1,20220215,2,2/15/22
472,Pocillopora,Lagoon,P2,20220215,2,2/15/22
473,Pocillopora,Lagoon,P2,20220215,2,2/15/22
466,Pocillopora,Lagoon,P3,20220215,2,2/15/22
467,Pocillopora,Lagoon,P3,20220215,2,2/15/22
468,Pocillopora,Lagoon,P4,20220215,2,2/15/22
469,Pocillopora,Lagoon,P4,20220215,2,2/15/22
470,Pocillopora,Lagoon,P5,20220215,2,2/15/22
471,Pocillopora,Lagoon,P5,20220215,2,2/15/22
477,Pocillopora,Forereef,NA,20220217,1,2/17/22
478,Pocillopora,Forereef,NA,20220217,1,2/17/22
479,Pocillopora,Forereef,NA,20220217,1,2/17/22
480,Pocillopora,Forereef,NA,20220217,1,2/17/22
481,Pocillopora,Forereef,NA,20220217,1,2/17/22
482,Pocillopora,Forereef,NA,20220217,1,2/17/22
483,Pocillopora,Forereef,NA,20220217,1,2/17/22
484,Pocillopora,Forereef,NA,20220217,1,2/17/22
485,Pocillopora,Forereef,NA,20220217,1,2/17/22
476,Pocillopora,Forereef,NA,20220217,1,2/17/22
474,Pocillopora,Lagoon,P1,20220315,3,3/15/22
475,Pocillopora,Lagoon,P1,20220315,3,3/15/22
472,Pocillopora,Lagoon,P2,20220315,3,3/15/22
473,Pocillopora,Lagoon,P2,20220315,3,3/15/22
466,Pocillopora,Lagoon,P3,20220315,3,3/15/22
467,Pocillopora,Lagoon,P3,20220315,3,3/15/22
468,Pocillopora,Lagoon,P4,20220315,3,3/15/22
469,Pocillopora,Lagoon,P4,20220315,3,3/15/22
470,Pocillopora,Lagoon,P5,20220315,3,3/15/22
471,Pocillopora,Lagoon,P5,20220315,3,3/15/22
477,Pocillopora,Forereef,NA,20220316,2,3/16/22
478,Pocillopora,Forereef,NA,20220316,2,3/16/22
479,Pocillopora,Forereef,NA,20220316,2,3/16/22
480,Pocillopora,Forereef,NA,20220316,2,3/16/22
481,Pocillopora,Forereef,NA,20220316,2,3/16/22
482,Pocillopora,Forereef,NA,20220316,2,3/16/22
483,Pocillopora,Forereef,NA,20220316,2,3/16/22
484,Pocillopora,Forereef,NA,20220316,2,3/16/22
485,Pocillopora,Forereef,NA,20220316,2,3/16/22
476,Pocillopora,Forereef,NA,20220316,2,3/16/22
477,Pocillopora,Forereef,NA,20220413,3,4/13/22
478,Pocillopora,Forereef,NA,20220413,3,4/13/22
479,Pocillopora,Forereef,NA,20220413,3,4/13/22
480,Pocillopora,Forereef,NA,20220413,3,4/13/22
481,Pocillopora,Forereef,NA,20220413,3,4/13/22
482,Pocillopora,Forereef,NA,20220413,3,4/13/22
483,Pocillopora,Forereef,NA,20220413,3,4/13/22
484,Pocillopora,Forereef,NA,20220413,3,4/13/22
485,Pocillopora,Forereef,NA,20220413,3,4/13/22
476,Pocillopora,Forereef,NA,20220413,3,4/13/22
474,Pocillopora,Lagoon,P1,20220414,4,4/14/22
475,Pocillopora,Lagoon,P1,20220414,4,4/14/22
472,Pocillopora,Lagoon,P2,20220414,4,4/14/22
473,Pocillopora,Lagoon,P2,20220414,4,4/14/22
466,Pocillopora,Lagoon,P3,20220414,4,4/14/22
467,Pocillopora,Lagoon,P3,20220414,4,4/14/22
468,Pocillopora,Lagoon,P4,20220414,4,4/14/22
469,Pocillopora,Lagoon,P4,20220414,4,4/14/22
470,Pocillopora,Lagoon,P5,20220414,4,4/14/22
471,Pocillopora,Lagoon,P5,20220414,4,4/14/22
477,Pocillopora,Forereef,NA,20220517,4,5/17/22
478,Pocillopora,Forereef,NA,20220517,4,5/17/22
479,Pocillopora,Forereef,NA,20220517,4,5/17/22
480,Pocillopora,Forereef,NA,20220517,4,5/17/22
481,Pocillopora,Forereef,NA,20220517,4,5/17/22
482,Pocillopora,Forereef,NA,20220517,4,5/17/22
483,Pocillopora,Forereef,NA,20220517,4,5/17/22
484,Pocillopora,Forereef,NA,20220517,4,5/17/22
485,Pocillopora,Forereef,NA,20220517,4,5/17/22
476,Pocillopora,Forereef,NA,20220517,4,5/17/22
474,Pocillopora,Lagoon,P1,20220515,5,5/15/22
475,Pocillopora,Lagoon,P1,20220515,5,5/15/22
472,Pocillopora,Lagoon,P2,20220515,5,5/15/22
473,Pocillopora,Lagoon,P2,20220515,5,5/15/22
466,Pocillopora,Lagoon,P3,20220515,5,5/15/22
467,Pocillopora,Lagoon,P3,20220515,5,5/15/22
468,Pocillopora,Lagoon,P4,20220515,5,5/15/22
469,Pocillopora,Lagoon,P4,20220515,5,5/15/22
470,Pocillopora,Lagoon,P5,20220515,5,5/15/22
471,Pocillopora,Lagoon,P5,20220515,5,5/15/22
477,Pocillopora,Forereef,NA,20220617,5,6/17/22
478,Pocillopora,Forereef,NA,20220617,5,6/17/22
479,Pocillopora,Forereef,NA,20220617,5,6/17/22
480,Pocillopora,Forereef,NA,20220617,5,6/17/22
481,Pocillopora,Forereef,NA,20220617,5,6/17/22
482,Pocillopora,Forereef,NA,20220617,5,6/17/22
483,Pocillopora,Forereef,NA,20220617,5,6/17/22
484,Pocillopora,Forereef,NA,20220617,5,6/17/22
485,Pocillopora,Forereef,NA,20220617,5,6/17/22
476,Pocillopora,Forereef,NA,20220617,5,6/17/22
474,Pocillopora,Lagoon,P1,20220616,6,6/16/22
475,Pocillopora,Lagoon,P1,20220616,6,6/16/22
472,Pocillopora,Lagoon,P2,20220616,6,6/16/22
473,Pocillopora,Lagoon,P2,20220616,6,6/16/22
466,Pocillopora,Lagoon,P3,20220616,6,6/16/22
467,Pocillopora,Lagoon,P3,20220616,6,6/16/22
468,Pocillopora,Lagoon,P4,20220616,6,6/16/22
469,Pocillopora,Lagoon,P4,20220616,6,6/16/22
470,Pocillopora,Lagoon,P5,20220616,6,6/16/22
471,Pocillopora,Lagoon,P5,20220616,6,6/16/22
474,Pocillopora,Lagoon,P1,20220727,7,7/27/22
475,Pocillopora,Lagoon,P1,20220727,7,7/27/22
472,Pocillopora,Lagoon,P2,20220727,7,7/27/22
473,Pocillopora,Lagoon,P2,20220727,7,7/27/22
466,Pocillopora,Lagoon,P3,20220727,7,7/27/22
467,Pocillopora,Lagoon,P3,20220727,7,7/27/22
468,Pocillopora,Lagoon,P4,20220727,7,7/27/22
469,Pocillopora,Lagoon,P4,20220727,7,7/27/22
470,Pocillopora,Lagoon,P5,20220727,7,7/27/22
471,Pocillopora,Lagoon,P5,20220727,7,7/27/22
477,Pocillopora,Forereef,NA,20220729,7,7/29/22
478,Pocillopora,Forereef,NA,20220729,7,7/29/22
479,Pocillopora,Forereef,NA,20220729,7,7/29/22
480,Pocillopora,Forereef,NA,20220729,7,7/29/22
481,Pocillopora,Forereef,NA,20220729,7,7/29/22
482,Pocillopora,Forereef,NA,20220729,7,7/29/22
483,Pocillopora,Forereef,NA,20220729,7,7/29/22
484,Pocillopora,Forereef,NA,20220729,7,7/29/22
485,Pocillopora,Forereef,NA,20220729,7,7/29/22
476,Pocillopora,Forereef,NA,20220729,7,7/29/22
474,Pocillopora,Lagoon,P1,20220811,8,8/11/22
475,Pocillopora,Lagoon,P1,20220811,8,8/11/22
472,Pocillopora,Lagoon,P2,20220811,8,8/11/22
473,Pocillopora,Lagoon,P2,20220811,8,8/11/22
466,Pocillopora,Lagoon,P3,20220811,8,8/11/22
467,Pocillopora,Lagoon,P3,20220811,8,8/11/22
468,Pocillopora,Lagoon,P4,20220811,8,8/11/22
469,Pocillopora,Lagoon,P4,20220811,8,8/11/22
470,Pocillopora,Lagoon,P5,20220811,8,8/11/22
471,Pocillopora,Lagoon,P5,20220811,8,8/11/22
477,Pocillopora,Forereef,NA,20220812,8,8/12/22
478,Pocillopora,Forereef,NA,20220812,8,8/12/22
479,Pocillopora,Forereef,NA,20220812,8,8/12/22
480,Pocillopora,Forereef,NA,20220812,8,8/12/22
481,Pocillopora,Forereef,NA,20220812,8,8/12/22
482,Pocillopora,Forereef,NA,20220812,8,8/12/22
483,Pocillopora,Forereef,NA,20220812,8,8/12/22
484,Pocillopora,Forereef,NA,20220812,8,8/12/22
485,Pocillopora,Forereef,NA,20220812,8,8/12/22
476,Pocillopora,Forereef,NA,20220812,8,8/12/22
474,Pocillopora,Lagoon,P1,20220917,9,9/17/22
475,Pocillopora,Lagoon,P1,20220917,9,9/17/22
472,Pocillopora,Lagoon,P2,20220917,9,9/17/22
473,Pocillopora,Lagoon,P2,20220917,9,9/17/22
466,Pocillopora,Lagoon,P3,20220917,9,9/17/22
467,Pocillopora,Lagoon,P3,20220917,9,9/17/22
468,Pocillopora,Lagoon,P4,20220917,9,9/17/22
469,Pocillopora,Lagoon,P4,20220917,9,9/17/22
470,Pocillopora,Lagoon,P5,20220917,9,9/17/22
471,Pocillopora,Lagoon,P5,20220917,9,9/17/22
477,Pocillopora,Forereef,NA,20220930,9,9/30/22
478,Pocillopora,Forereef,NA,20220930,9,9/30/22
479,Pocillopora,Forereef,NA,20220930,9,9/30/22
480,Pocillopora,Forereef,NA,20220930,9,9/30/22
481,Pocillopora,Forereef,NA,20220930,9,9/30/22
482,Pocillopora,Forereef,NA,20220930,9,9/30/22
483,Pocillopora,Forereef,NA,20220930,9,9/30/22
484,Pocillopora,Forereef,NA,20220930,9,9/30/22
485,Pocillopora,Forereef,NA,20220930,9,9/30/22
476,Pocillopora,Forereef,NA,20220930,9,9/30/22
474,Pocillopora,Lagoon,P1,20221015,10,10/15/22
475,Pocillopora,Lagoon,P1,20221015,10,10/15/22
472,Pocillopora,Lagoon,P2,20221015,10,10/15/22
473,Pocillopora,Lagoon,P2,20221015,10,10/15/22
466,Pocillopora,Lagoon,P3,20221015,10,10/15/22
467,Pocillopora,Lagoon,P3,20221015,10,10/15/22
