Tag,Species,Site,Patch,Sample.Date,Timepoint,date
468,Pocillopora,Lagoon,P4,20221015,10,10/15/22
469,Pocillopora,Lagoon,P4,20221015,10,10/15/22
470,Pocillopora,Lagoon,P5,20221015,10,10/15/22
471,Pocillopora,Lagoon,P5,20221015,10,10/15/22
477,Pocillopora,Forereef,NA,20221017,10,10/17/22
478,Pocillopora,Forereef,NA,20221017,10,10/17/22
479,Pocillopora,Forereef,NA,20221017,10,10/17/22
480,Pocillopora,Forereef,NA,20221017,10,10/17/22
481,Pocillopora,Forereef,NA,20221017,10,10/17/22
482,Pocillopora,Forereef,NA,20221017,10,10/17/22
483,Pocillopora,Forereef,NA,20221017,10,10/17/22
484,Pocillopora,Forereef,NA,20221017,10,10/17/22
485,Pocillopora,Forereef,NA,20221017,10,10/17/22
476,Pocillopora,Forereef,NA,20221017,10,10/17/22
474,Pocillopora,Lagoon,P1,20221111,10,11/11/22
475,Pocillopora,Lagoon,P1,20221111,10,11/11/22
472,Pocillopora,Lagoon,P2,20221111,10,11/11/22
473,Pocillopora,Lagoon,P2,20221111,10,11/11/22
466,Pocillopora,Lagoon,P3,20221111,10,11/11/22
467,Pocillopora,Lagoon,P3,20221111,10,11/11/22
468,Pocillopora,Lagoon,P4,20221111,10,11/11/22
469,Pocillopora,Lagoon,P4,20221111,10,11/11/22
470,Pocillopora,Lagoon,P5,20221111,10,11/11/22
471,Pocillopora,Lagoon,P5,20221111,10,11/11/22
477,Pocillopora,Forereef,NA,20221110,10,11/10/22
478,Pocillopora,Forereef,NA,20221110,10,11/10/22
479,Pocillopora,Forereef,NA,20221110,10,11/10/22
480,Pocillopora,Forereef,NA,20221110,10,11/10/22
481,Pocillopora,Forereef,NA,20221110,10,11/10/22
482,Pocillopora,Forereef,NA,20221110,10,11/10/22
483,Pocillopora,Forereef,NA,20221110,10,11/10/22
484,Pocillopora,Forereef,NA,20221110,10,11/10/22
485,Pocillopora,Forereef,NA,20221110,10,11/10/22
476,Pocillopora,Forereef,NA,20221110,10,11/10/22
