well,colony_id
A1,STD-A
A2,STD-A
A3,STD-B
A4,STD-B
A5,STD-C
A6,STD-C
A7,STD-D
A8,STD-D
A9,STD-E
A10,STD-E
A11,STD-F
A12,STD-F
B1,STD-G
B2,STD-G
B3,STD-H
B4,STD-H
B5,STD-I
B6,STD-I
B7,POC-474
B8,POC-474
B9,POC-475
B10,POC-475
B11,POC-472
B12,POC-472
C1,POC-473
C2,POC-473
C3,POC-466
C4,POC-466
C5,POC-467
C6,POC-467
C7,POC-468
C8,POC-468
C9,POC-469
C10,POC-469
C11,POC-470
C12,POC-470
D1,POC-471
D2,POC-471
D3,POC-476
D4,POC-476
D5,POC-477
D6,POC-477
D7,POC-478
D8,POC-478
D9,POC-479
D10,POC-479
D11,POC-480
D12,POC-480
E1,POC-481
E2,POC-481
E3,POC-482
E4,POC-482
E5,POC-483
E6,POC-483
E7,POC-484
E8,POC-484
E9,POC-485
E10,POC-485
E11,NA
E12,NA
F1,NA
F2,NA
F3,NA
F4,NA
F5,NA
F6,NA
F7,NA
F8,NA
F9,NA
F10,NA
F11,NA
F12,NA
G1,NA
G2,NA
G3,NA
G4,NA
G5,NA
G6,NA
G7,NA
G8,NA
G9,NA
G10,NA
G11,NA
G12,NA
H1,NA
H2,NA
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
