well,colony_id
A1,STD-A
A2,STD-A
A3,STD-B
A4,STD-B
A5,STD-C
A6,STD-C
A7,STD-D
A8,STD-D
A9,STD-E
A10,STD-E
A11,STD-F
A12,STD-F
B1,STD-G
B2,STD-G
B3,STD-H
B4,STD-H
B5,STD-I
B6,STD-I
B7,POC-466
B8,POC-466
B9,POC-485
B10,POC-485
B11,POC-467
B12,POC-467
C1,POC-473
C2,POC-473
C3,POC-479
C4,POC-479
C5,POC-469
C6,POC-469
C7,POC-471
C8,POC-471
C9,POC-481
C10,POC-481
C11,POC-477
C12,POC-477
D1,POC-478
D2,POC-478
D3,POC-482
D4,POC-482
D5,POC-480
D6,POC-480
D7,POC-470
D8,POC-470
D9,POC-474
D10,POC-474
D11,POC-484
D12,POC-484
E1,POC-468
E2,POC-468
E3,POC-472
E4,POC-472
E5,POC-483
E6,POC-483
E7,POC-476
E8,POC-476
E9,POC-475
E10,POC-475
E11,NA
E12,NA
F1,NA
F2,NA
F3,NA
F4,NA
F5,NA
F6,NA
F7,NA
F8,NA
F9,NA
F10,NA
F11,NA
F12,NA
G1,NA
G2,NA
G3,NA
G4,NA
G5,NA
G6,NA
G7,NA
G8,NA
G9,NA
G10,NA
G11,NA
G12,NA
H1,NA
H2,NA
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
