Well,562:562
A1,2.713
B1,0.282
C1,1.492
D1,1.079
E1,1.598
F1,0.044
G1,0.043
H1,0.044
A2,2.308
B2,0.287
C2,1.667
D2,1.069
E2,1.603
F2,0.043
G2,0.044
H2,0.051
A3,1.743
B3,0.193
C3,1.299
D3,1.237
E3,2.11
F3,0.043
G3,0.043
H3,0.045
A4,1.88
B4,0.137
C4,1.307
D4,1.195
E4,2.093
F4,0.044
G4,0.043
H4,0.045
A5,1.217
B5,0.096
C5,0.893
D5,1.235
E5,1.406
F5,0.044
G5,0.045
H5,0.044
A6,1.353
B6,0.095
C6,0.996
D6,1.127
E6,1.415
F6,0.043
G6,0.043
H6,0.044
A7,0.948
B7,1.375
C7,1.171
D7,1.231
E7,1.445
F7,0.045
G7,0.045
H7,0.042
A8,1.104
B8,1.288
C8,1.168
D8,1.199
E8,1.334
F8,0.044
G8,0.044
H8,0.043
A9,0.701
B9,0.606
C9,1.08
D9,1.183
E9,1.471
F9,0.044
G9,0.045
H9,0.043
A10,0.735
B10,0.718
C10,0.966
D10,1.196
E10,1.426
F10,0.045
G10,0.044
H10,0.046
A11,0.439
B11,2.03
C11,0.729
D11,1.028
E11,0.045
F11,0.044
G11,0.045
H11,0.043
A12,0.462
B12,1.864
C12,0.7
D12,1.058
E12,0.044
F12,0.045
G12,0.044
H12,0.043
