Software Version,3.05.11,,,,,,,,,,,,,
,,,,,,,,,,,,,,
X,,,,,,,,,,,,,,
X,,,,,,,,,,,,,,
X,,,,,,,,,,,,,,
X,,,,,,,,,,,,,,
X,,,,,,,,,,,,,,
X,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,19041023,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,"Wavelengths:  630, 663, 750",,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,,,,,,,,,,,,,,
Actual Temperature:,,,,,,,,,,,,,,
Actual Temperature:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.036,0.055,0.085,0.062,0.071,0.122,0.126,0.102,0.091,0.057,0.135,0.131,630
,,0.054,0.141,0.229,0.162,0.199,0.42,0.399,0.306,0.241,0.111,0.48,0.515,663
,,0.031,0.032,0.034,0.033,0.032,0.033,0.033,0.039,0.039,0.039,0.035,0.035,750
,B,0.046,0.061,0.087,0.064,0.079,0.141,0.143,0.104,0.089,0.054,0.147,0.146,630
,,0.07,0.162,0.26,0.184,0.229,0.491,0.455,0.343,0.268,0.114,0.548,0.577,663
,,0.04,0.034,0.031,0.031,0.034,0.036,0.036,0.034,0.035,0.035,0.034,0.036,750
,C,0.05,0.188,0.086,0.13,0.143,0.08,0.127,0.126,0.069,0.052,0.1,0.056,630
,,0.11,0.74,0.292,0.476,0.515,0.244,0.47,0.43,0.177,0.121,0.277,0.125,663
,,0.028,0.03,0.035,0.031,0.035,0.031,0.033,0.037,0.031,0.031,0.036,0.035,750
,D,0.06,0.224,0.09,0.12,0.169,0.097,0.138,0.158,0.073,0.057,0.105,0.063,630
,,0.133,0.863,0.321,0.428,0.634,0.31,0.527,0.533,0.203,0.134,0.31,0.141,663
,,0.037,0.037,0.035,0.033,0.033,0.036,0.032,0.046,0.033,0.032,0.034,0.038,750
,E,0.073,0.083,0.057,0.067,0.048,0.041,0.109,0.113,0.079,0.12,0.076,0.083,630
,,0.2,0.218,0.124,0.156,0.084,0.061,0.348,0.346,0.231,0.45,0.237,0.238,663
,,0.033,0.041,0.033,0.036,0.035,0.034,0.032,0.037,0.033,0.029,0.033,0.036,750
,F,0.082,0.089,0.066,0.069,0.061,0.046,0.111,0.125,0.089,0.123,0.085,0.097,630
,,0.24,0.241,0.142,0.167,0.103,0.068,0.351,0.393,0.267,0.432,0.273,0.278,663
,,0.033,0.03,0.039,0.034,0.044,0.034,0.034,0.038,0.035,0.036,0.035,0.043,750
,G,0.103,0.06,0.092,0.09,0.036,0.034,0.036,0.046,0.032,0.033,0.041,0.033,630
,,0.352,0.146,0.288,0.242,0.035,0.033,0.035,0.044,0.032,0.032,0.041,0.032,663
,,0.033,0.033,0.035,0.034,0.034,0.033,0.035,0.043,0.032,0.032,0.04,0.032,750
,H,0.118,0.067,0.127,0.097,0.032,0.036,0.034,0.033,0.031,0.033,0.032,0.034,630
,,0.409,0.164,0.355,0.27,0.032,0.035,0.034,0.032,0.031,0.033,0.032,0.033,663
,,0.035,0.037,0.051,0.033,0.032,0.035,0.034,0.032,0.03,0.032,0.031,0.033,750
