well,full_sample_id,,,
A1,NA,,,
A2,NA,,,
A3,NA,,,
A4,NA,,,
A5,NA,,,
A6,NA,,,
A7,NA,,,
A8,NA,,,
A9,NA,,,
A10,NA,,,
A11,NA,,,
A12,NA,,,
B1,NA,,,
B2,NA,,,
B3,NA,,,
B4,NA,,,
B5,NA,,,
B6,NA,,,
B7,NA,,,
B8,NA,,,
B9,NA,,,
B10,NA,,,
B11,NA,,,
B12,NA,,,
C1,NA,,,
C2,NA,,,
C3,NA,,,
C4,NA,,,
C5,NA,,,
C6,NA,,,
C7,NA,,,
C8,NA,,,
C9,POC-466-20220727,,,
C10,POC-467-20220727,,,
C11,POC-468-20220727,,,
C12,POC-469-20220727,,,
D1,NA,,,
D2,NA,,,
D3,NA,,,
D4,NA,,,
D5,NA,,,
D6,NA,,,
D7,NA,,,
D8,NA,,,
D9,POC-466-20220727,,,
D10,POC-467-20220727,,,
D11,POC-468-20220727,,,
D12,POC-469-20220727,,,
E1,POC-470-20220727,,,
E2,POC-471-20220727,,,
E3,POC-472-20220727,,,
E4,POC-473-20220727,,,
E5,POC-474-20220727,,,
E6,POC-475-20220727,,,
E7,POC-476-20220729,,,
E8,POC-477-20220729,,,
E9,POC-478-20220729,,,
E10,POC-479-20220729,,,
E11,POC-480-20220729,,,
E12,POC-481-20220729,,,
F1,POC-470-20220727,,,
F2,POC-471-20220727,,,
F3,POC-472-20220727,,,
F4,POC-473-20220727,,,
F5,POC-474-20220727,,,
F6,POC-475-20220727,,,
F7,POC-476-20220729,,,
F8,POC-477-20220729,,,
F9,POC-478-20220729,,,
F10,POC-479-20220729,,,
F11,POC-480-20220729,,,
F12,POC-481-20220729,,,
G1,POC-482-20220729,,,
G2,POC-483-20220729,,,
G3,POC-484-20220729,,,
G4,POC-485-20220729,,,
G5,BK,Incubated acetone,,
G6,BK,Incubated acetone,,
G7,BK,Acetone Room ,,
G8,BK,Acetone Room ,,
G9,NA,,,
G10,NA,,,
G11,NA,,,
G12,NA,,,
H1,POC-482-20220729,,,
H2,POC-483-20220729,,,
H3,POC-484-20220729,,,
H4,POC-485-20220729,,,
H5,BK,Incubated acetone,,
H6,BK,Incubated acetone,,
H7,BK,Acetone Room ,,
H8,BK,Acetone Room ,,
H9,NA,,,
H10,NA,,,
H11,NA,,,
H12,NA,,,
