well,colony_id
A1,blank
A2,blank
A3,POC-468
A4,POC-468
A5,POC-479
A6,POC-479
A7,NA
A8,NA
A9,NA
A10,NA
A11,NA
A12,NA
B1,POC-474
B2,POC-474
B3,POC-469
B4,POC-469
B5,POC-481
B6,POC-481
B7,NA
B8,NA
B9,NA
B10,NA
B11,NA
B12,NA
C1,POC-475
C2,POC-475
C3,POC-470
C4,POC-470
C5,POC-480
C6,POC-480
C7,NA
C8,NA
C9,NA
C10,NA
C11,NA
C12,NA
D1,POC-472
D2,POC-472
D3,POC-471
D4,POC-471
D5,POC-482
D6,POC-482
D7,NA
D8,NA
D9,NA
D10,NA
D11,NA
D12,NA
E1,POC-473
E2,POC-473
E3,POC-476
E4,POC-476
E5,POC-483
E6,POC-483
E7,NA
E8,NA
E9,NA
E10,NA
E11,NA
E12,NA
F1,POC-466
F2,POC-466
F3,POC-477
F4,POC-477
F5,POC-484
F6,POC-484
F7,NA
F8,NA
F9,NA
F10,NA
F11,NA
F12,NA
G1,POC-467
G2,POC-467
G3,POC-478
G4,POC-478
G5,POC-485
G6,POC-485
G7,NA
G8,NA
G9,NA
G10,NA
G11,NA
G12,NA
H1,NA
H2,NA
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
