well,full_sample_id
A1,BK
A2,BK
A3,POC-468-20220315
A4,POC-468-20220315
A5,POC-479-20220316
A6,POC-479-20220316
A7,NA
A8,NA
A9,NA
A10,NA
A11,NA
A12,NA
B1,POC-474-20220315
B2,POC-474-20220315
B3,POC-469-20220315
B4,POC-469-20220315
B5,POC-481-20220316
B6,POC-481-20220316
B7,NA
B8,NA
B9,NA
B10,NA
B11,NA
B12,NA
C1,POC-475-20220315
C2,POC-475-20220315
C3,POC-470-20220315
C4,POC-470-20220315
C5,POC-480-20220316
C6,POC-480-20220316
C7,NA
C8,NA
C9,NA
C10,NA
C11,NA
C12,NA
D1,POC-472-20220315
D2,POC-472-20220315
D3,POC-471-20220315
D4,POC-471-20220315
D5,POC-482-20220316
D6,POC-482-20220316
D7,NA
D8,NA
D9,NA
D10,NA
D11,NA
D12,NA
E1,POC-473-20220315
E2,POC-473-20220315
E3,POC-476-20220316
E4,POC-476-20220316
E5,POC-483-20220316
E6,POC-483-20220316
E7,NA
E8,NA
E9,NA
E10,NA
E11,NA
E12,NA
F1,POC-466-20220315
F2,POC-466-20220315
F3,POC-477-20220316
F4,POC-477-20220316
F5,POC-484-20220316
F6,POC-484-20220316
F7,NA
F8,NA
F9,NA
F10,NA
F11,NA
F12,NA
G1,POC-467-20220315
G2,POC-467-20220315
G3,POC-478-20220316
G4,POC-478-20220316
G5,POC-485-20220316
G6,POC-485-20220316
G7,NA
G8,NA
G9,NA
G10,NA
G11,NA
G12,NA
H1,NA
H2,NA
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
