date,colony_id,species,patch,original.tag.number,site,timepoint,notes
20220126,POC-474,Pocillopora,P1,474,Mahana,JAN,
20220126,POC-475,Pocillopora,P1,475,Mahana,JAN,
20220126,POC-472,Pocillopora,P2,472,Mahana,JAN,
20220126,POC-473,Pocillopora,P2,473,Mahana,JAN,
20220126,POC-466,Pocillopora,P3,466,Mahana,JAN,
20220126,POC-467,Pocillopora,P3,467,Mahana,JAN,
20220126,POC-468,Pocillopora,P4,468,Mahana,JAN,
20220126,POC-469,Pocillopora,P4,469,Mahana,JAN,
20220126,POC-470,Pocillopora,P5,470,Mahana,JAN,
20220126,POC-471,Pocillopora,P5,471,Mahana,JAN,
