full_sample_id,partner,timepoint,AFDW.mg.cm2,DW.mg.cm2
POC-175,host,NA,NA,NA
POC-175,sym,NA,NA,NA
POC-466-20220126,host,January,0.37416819787609423,210.90124978193964
POC-466-20220126,host,Jan,0.37416819787609423,210.90124978193964
POC-466-20220127,sym,NA,NA,NA
POC-466-20220215,host,February,0.6494347946525986,100.7396515143412
POC-466-20220215,host,Feb,0.6494347946525986,100.7396515143412
POC-466-20220215,sym,February,0.15103134759361828,93.31762255971154
POC-466-20220215,sym,Feb,0.15103134759361828,93.31762255971154
POC-466-20220315,host,March,1.1753394069818806,138.91427620003705
POC-466-20220315,sym,March,-0.04435243045213074,130.83227776209034
POC-466-20220414,host,April,1.1855933067321827,109.25571653011178
POC-466-20220414,sym,April,0.7224709212899281,100.95553422212994
POC-466-20220515,host,May,0.9854809660061512,61.08165992372088
POC-466-20220515,sym,May,0.7058174486260339,56.041663287991604
POC-466-20220616,host,June,0.23124241463950296,37.7259828830928
POC-466-20220616,sym,June,0.9493109653621256,37.838561427062025
POC-466-20220727,host,July,0.47988073923494307,122.32402290587427
POC-466-20220727,sym,July,0.05537085452708813,117.00438341312915
POC-466-20220811,host,August,9.298286061930161,100.40482992199942
POC-466-20220811,sym,August,0.45707866877464237,87.1753143521062
POC-466-20220917,host,September,1.1630713126558492,58.28154111703267
POC-466-20220917,sym,September,0.36134254373774655,54.72457545211431
POC-466-20221015,host,October,110.68165362602261,107.40925033973953
POC-466-20221015,sym,October,110.33142986294214,102.20623855947541
POC-466-20221104,host,NA,NA,NA
POC-466-20221104,sym,NA,NA,NA
POC-467-20220125,host,NA,NA,NA
POC-467-20220126,sym,January,0.48167010315479425,110.06440816606232
POC-467-20220126,sym,Jan,0.48167010315479425,110.06440816606232
POC-467-20220215,host,February,0.3381062777515182,166.60186836206353
POC-467-20220215,host,Feb,0.3381062777515182,166.60186836206353
POC-467-20220215,sym,February,-0.27048502220123954,156.05858760084516
POC-467-20220215,sym,Feb,-0.27048502220123954,156.05858760084516
POC-467-20220315,host,March,0.9861813027266956,61.934942218605194
POC-467-20220315,sym,March,0.3001421356124844,58.628784714588164
POC-467-20220414,host,April,1.2512430923206406,95.34114297097533
POC-467-20220414,sym,April,0.6087128557235656,90.87028629372473
POC-467-20220515,host,May,0.41644289376530225,28.335114445174376
POC-467-20220515,sym,May,0.13088205232624864,26.31409158522764
POC-467-20220616,host,June,1.3477455683107944,46.90435358048294
POC-467-20220616,sym,June,0.8022295049469017,43.22913966094494
POC-467-20220727,host,July,4.842792739454626,81.59409446060282
POC-467-20220727,sym,July,-4.8113460333542895,76.70862404858342
POC-467-20220811,host,August,1.8037131552704793,124.53780426116232
POC-467-20220811,sym,August,0.7214852621081917,121.87544848926832
POC-467-20220917,host,September,0.8085041658092671,52.92129350974499
POC-467-20220917,sym,September,0.2664388728235073,49.86541318102018
POC-467-20221015,host,October,56.315512077960804,48.603287882102784
POC-467-20221015,sym,October,55.96662061755059,46.68069287672055
POC-467-20221104,host,NA,NA,NA
POC-467-20221104,sym,NA,NA,NA
POC-468-20220126,host,January,1.1500438865914093,218.20551624554741
POC-468-20220126,host,Jan,1.1500438865914093,218.20551624554741
POC-468-20220126,sym,January,-0.1326973715298187,205.51250228421796
POC-468-20220126,sym,Jan,-0.1326973715298187,205.51250228421796
POC-468-20220215,host,February,0.6444961582782014,227.2517398218611
POC-468-20220215,host,Feb,0.6444961582782014,227.2517398218611
POC-468-20220215,sym,February,0.10176255130712873,216.50182324996098
POC-468-20220215,sym,Feb,0.10176255130712873,216.50182324996098
POC-468-20220315,host,March,1.8177939093727007,153.91370484601615
POC-468-20220315,sym,March,0.40133112284854555,145.50721282356864
POC-468-20220414,host,April,1.0644366848388633,28.56735174770538
POC-468-20220414,sym,April,0.6386620109033297,25.32401316900138
POC-468-20220515,host,May,1.1768441342837215,160.2947821440808
POC-468-20220515,sym,May,1.463879288987031,150.13373766758252
POC-468-20220616,host,June,1.5674609520135419,55.97602915041049
POC-468-20220616,sym,June,0.9018268491036956,51.913679085629305
POC-468-20220727,host,July,5.495610000535598,82.46993537547954
POC-468-20220727,sym,July,-4.038634325975007,77.54433515639484
POC-468-20220811,host,August,0.9761506877027195,117.29319121411147
POC-468-20220811,sym,August,0.5459825880371364,111.56657838731304
POC-468-20220917,host,September,0.7503866472617273,78.63305072070173
POC-468-20220917,sym,September,0.4733208082727668,73.5229516069964
POC-468-20221015,host,October,75.2592321757857,64.5738044846448
POC-468-20221015,sym,October,74.82072786032339,62.53124001621018
POC-468-20221104,host,NA,NA,NA
POC-468-20221104,sym,NA,NA,NA
POC-469-20220126,host,January,0.8864539514703144,70.02293674466029
POC-469-20220126,host,Jan,0.8864539514703144,70.02293674466029
POC-469-20220126,sym,January,0.30471854581792357,60.64937875001115
POC-469-20220126,sym,Jan,0.30471854581792357,60.64937875001115
POC-469-20220215,host,February,0.07179579418205995,80.51629083288492
POC-469-20220215,host,Feb,0.07179579418205995,80.51629083288492
POC-469-20220215,sym,February,0.07179579418204002,74.87403885760322
POC-469-20220215,sym,Feb,0.07179579418204002,74.87403885760322
POC-469-20220315,host,March,0.88593410302517,202.74786517335792
POC-469-20220315,sym,March,-0.02768544071957037,196.92838553411133
POC-469-20220414,host,April,1.2979234072976715,216.88243948783278
POC-469-20220414,sym,April,0.9888940246077758,211.03335608092002
POC-469-20220515,host,May,1.4394065507808176,158.96549500828746
POC-469-20220515,sym,May,0.8686074013332065,148.03034825935987
POC-469-20220616,host,June,1.4305948034441422,44.71666234357151
