full_sample_id,surface.area.cm2,date
POC-466-20220126,20.445350629540222,20220126
POC-467-20220126,26.885621331241886,20220126
POC-468-20220126,23.512146201779125,20220126
POC-469-20220126,11.551643470047438,20220126
POC-470-20220126,78.40778694485526,20220126
POC-471-20220126,22.285427972883568,20220126
POC-472-20220126,16.458516385629665,20220126
POC-473-20220126,26.272262216794125,20220126
POC-474-20220126,27.49898044568971,20220126
POC-475-20220126,17.37855505730137,20220126
POC-470-20220215,23.266802555999988,20220215
POC-467-20220215,56.786878160571064,20220215
POC-471-20220215,12.901033521832563,20220215
POC-475-20220215,46.20643343634693,20220215
POC-474-20220215,23.42014233461196,20220215
POC-472-20220215,17.194547322967,20220215
POC-473-20220215,41.88225167949003,20220215
POC-468-20220215,20.046667205149195,20220215
POC-466-20220215,34.42993843894957,20220215
POC-469-20220215,22.28542797288354,20220215
POC-481-20220217,38.90745997441838,20220217
POC-476-20220217,14.127751750728121,20220217
POC-480-20220217,13.238381034778847,20220217
POC-483-20220217,20.476018585262622,20220217
POC-485-20220217,36.331351693737666,20220217
POC-477-20220217,20.108003116593967,20220217
POC-478-20220217,29.49239756764497,20220217
POC-482-20220217,32.37518540554951,20220217
POC-484-20220217,19.310636267811834,20220217
POC-479-20220217,35.56465280067799,20220217
POC-470-20220315,35.41131302206602,20220315
POC-466-20220315,20.29201085092828,20220315
POC-482-20220316,21.917412504214916,20220316
POC-484-20220316,39.4594831774214,20220316
POC-467-20220315,32.651197007051024,20220315
POC-468-20220315,23.29747051172236,20220315
POC-479-20220316,23.941497581892605,20220316
POC-472-20220315,19.494644002146174,20220315
POC-481-20220316,37.86474947985719,20220316
POC-471-20220315,57.890924566577105,20220315
POC-483-20220316,46.482445037848436,20220316
POC-473-20220315,32.957876564274905,20220315
POC-485-20220316,65.43524167428473,20220316
POC-477-20220316,14.342427440784848,20220316
POC-474-20220315,29.73774121342411,20220315
POC-469-20220315,54.18010192416798,20220315
POC-478-20220316,56.26552291329047,20220316
POC-476-20220316,36.17801191512575,20220316
POC-475-20220315,29.339057789033006,20220315
POC-480-20220316,11.091624134211614,20220316
POC-485-20220413,45.746414100511075,20220413
POC-482-20220413,28.388351161638987,20220413
POC-479-20220413,61.32573560748461,20220413
POC-468-20220414,18.789281020531213,20220414
POC-481-20220413,25.35222354512242,20220413
POC-477-20220413,29.15505005469872,20220413
POC-472-20220414,34.859289819063,20220414
POC-471-20220414,61.69375107615335,20220414
POC-470-20220414,44.24368427011403,20220414
POC-473-20220414,24.462852829173144,20220414
POC-466-20220414,19.433308090701402,20220414
POC-483-20220413,27.069629065576287,20220413
POC-478-20220413,15.59981362540279,20220413
POC-467-20220414,20.108003116593938,20220414
POC-484-20220413,19.06529262203275,20220413
POC-476-20220413,27.49898044568971,20220413
POC-480-20220413,29.860413036313595,20220413
POC-469-20220414,35.59532075640036,20220414
POC-475-20220413,30.381768283594248,20220413
POC-474-20220414,19.126628533477493,20220414
POC-474-20220515,49.27322900858586,20220515
POC-470-20220515,15.29313406817888,20220515
POC-485-20220517,20.72136223104173,20220517
POC-479-20220517,22.04008432710446,20220517
POC-468-20220515,11.612979381492236,20220515
POC-472-20220515,17.347887101578955,20220515
POC-473-20220515,27.192300888465773,20220515
POC-476-20220517,27.560316357134454,20220517
