colony_id,surface.area.cm2,timepoint
POC-470,36.44230314052196,MARCH
POC-466,20.599472684624573,MARCH
POC-482,22.302657297530402,MARCH
POC-484,40.68419689341948,MARCH
POC-467,33.55010285445551,MARCH
POC-468,23.748757440563573,MARCH
POC-479,24.423604173979164,MARCH
POC-472,19.763948157538714,MARCH
POC-481,39.013147839247765,MARCH
POC-471,59.99766769259658,MARCH
POC-483,48.04323984352189,MARCH
POC-473,33.871458441796214,MARCH
POC-485,-57.232850569297185,MARCH
POC-477,14.365174290214668,MARCH
POC-474,30.497224774718724,MARCH
POC-469,56.10926508577382,MARCH
POC-478,58.29448307969075,MARCH
POC-476,37.24569210887377,MARCH
POC-475,30.07946251117574,MARCH
POC-480,10.958805064403052,MARCH
