date,colony_id,species,patch,original.tag.number,site,timepoint,notes
20220126,POC-474,Pocillopora,P1,474,backreef,JAN,
20220126,POC-475,Pocillopora,P1,475,backreef,JAN,
20220126,POC-472,Pocillopora,P2,472,backreef,JAN,
20220126,POC-473,Pocillopora,P2,473,backreef,JAN,
20220126,POC-466,Pocillopora,P3,466,backreef,JAN,
20220126,POC-467,Pocillopora,P3,467,backreef,JAN,
20220126,POC-468,Pocillopora,P4,468,backreef,JAN,
20220126,POC-469,Pocillopora,P4,469,backreef,JAN,
20220126,POC-470,Pocillopora,P5,470,backreef,JAN,
20220126,POC-471,Pocillopora,P5,471,backreef,JAN,
