date,colony_id,full_sample_id,species,site,patch,timepoint,Tag.found
20220515,POC-466,POC-466-20220515,Pocillopora,backreef,P3,5,yes
20220515,POC-467,POC-467-20220515,Pocillopora,backreef,P3,5,yes
20220515,POC-468,POC-468-20220515,Pocillopora,backreef,P4,5,yes
20220515,POC-469,POC-469-20220515,Pocillopora,backreef,P4,5,tag not found but sampled colony
20220515,POC-470,POC-470-20220515,Pocillopora,backreef,P5,5,yes
20220515,POC-471,POC-471-20220515,Pocillopora,backreef,P5,5,yes
20220617,POC-477,POC-477-20220617,Pocillopora,forereef,NA,5,yes
20220617,POC-478,POC-478-20220617,Pocillopora,forereef,NA,5,yes
20220617,POC-479,POC-479-20220617,Pocillopora,forereef,NA,5,yes
20220617,POC-480,POC-480-20220617,Pocillopora,forereef,NA,5,yes
20220617,POC-481,POC-481-20220617,Pocillopora,forereef,NA,5,yes
20220617,POC-482,POC-482-20220617,Pocillopora,forereef,NA,5,yes
20220617,POC-483,POC-483-20220617,Pocillopora,forereef,NA,5,yes
20220617,POC-484,POC-484-20220617,Pocillopora,forereef,NA,5,tag not found but sampled colony
20220617,POC-485,POC-485-20220617,Pocillopora,forereef,NA,5,yes
20220617,POC-476,POC-476-20220617,Pocillopora,forereef,NA,5,yes
20220616,POC-474,POC-474-20220616,Pocillopora,backreef,P1,6,yes
20220616,POC-475,POC-475-20220616,Pocillopora,backreef,P1,6,yes
20220616,POC-472,POC-472-20220616,Pocillopora,backreef,P2,6,yes
20220616,POC-473,POC-473-20220616,Pocillopora,backreef,P2,6,yes
20220616,POC-466,POC-466-20220616,Pocillopora,backreef,P3,6,yes
20220616,POC-467,POC-467-20220616,Pocillopora,backreef,P3,6,yes
20220616,POC-468,POC-468-20220616,Pocillopora,backreef,P4,6,yes
20220616,POC-469,POC-469-20220616,Pocillopora,backreef,P4,6,yes
20220616,POC-470,POC-470-20220616,Pocillopora,backreef,P5,6,yes
20220616,POC-471,POC-471-20220616,Pocillopora,backreef,P5,6,yes
20220727,POC-474,POC-474-20220727,Pocillopora,backreef,P1,7,yes
20220727,POC-475,POC-475-20220727,Pocillopora,backreef,P1,7,yes
20220727,POC-472,POC-472-20220727,Pocillopora,backreef,P2,7,yes
20220727,POC-473,POC-473-20220727,Pocillopora,backreef,P2,7,yes
20220727,POC-466,POC-466-20220727,Pocillopora,backreef,P3,7,yes
20220727,POC-467,POC-467-20220727,Pocillopora,backreef,P3,7,yes
20220727,POC-468,POC-468-20220727,Pocillopora,backreef,P4,7,yes
20220727,POC-469,POC-469-20220727,Pocillopora,backreef,P4,7,yes
20220727,POC-470,POC-470-20220727,Pocillopora,backreef,P5,7,yes
20220727,POC-471,POC-471-20220727,Pocillopora,backreef,P5,7,yes
20220729,POC-477,POC-477-20220729,Pocillopora,forereef,NA,7,yes
20220729,POC-478,POC-478-20220729,Pocillopora,forereef,NA,7,yes
20220729,POC-479,POC-479-20220729,Pocillopora,forereef,NA,7,yes
20220729,POC-480,POC-480-20220729,Pocillopora,forereef,NA,7,yes
20220729,POC-481,POC-481-20220729,Pocillopora,forereef,NA,7,yes
20220729,POC-482,POC-482-20220729,Pocillopora,forereef,NA,7,yes
20220729,POC-483,POC-483-20220729,Pocillopora,forereef,NA,7,yes
20220729,POC-484,POC-484-20220729,Pocillopora,forereef,NA,7,tag not found but sampled colony
20220729,POC-485,POC-485-20220729,Pocillopora,forereef,NA,7,yes
20220729,POC-476,POC-476-20220729,Pocillopora,forereef,NA,7,yes
20220811,POC-474,POC-474-20220811,Pocillopora,backreef,P1,8,yes
20220811,POC-475,POC-475-20220811,Pocillopora,backreef,P1,8,yes
20220811,POC-472,POC-472-20220811,Pocillopora,backreef,P2,8,yes
20220811,POC-473,POC-473-20220811,Pocillopora,backreef,P2,8,yes
20220811,POC-466,POC-466-20220811,Pocillopora,backreef,P3,8,yes
20220811,POC-467,POC-467-20220811,Pocillopora,backreef,P3,8,yes
20220811,POC-468,POC-468-20220811,Pocillopora,backreef,P4,8,yes
20220811,POC-469,POC-469-20220811,Pocillopora,backreef,P4,8,yes
20220811,POC-470,POC-470-20220811,Pocillopora,backreef,P5,8,yes
20220811,POC-471,POC-471-20220811,Pocillopora,backreef,P5,8,yes
20220812,POC-477,POC-477-20220812,Pocillopora,forereef,NA,8,yes
20220812,POC-478,POC-478-20220812,Pocillopora,forereef,NA,8,yes
20220812,POC-479,POC-479-20220812,Pocillopora,forereef,NA,8,yes
20220812,POC-480,POC-480-20220812,Pocillopora,forereef,NA,8,yes
20220812,POC-481,POC-481-20220812,Pocillopora,forereef,NA,8,yes
20220812,POC-482,POC-482-20220812,Pocillopora,forereef,NA,8,yes
20220812,POC-483,POC-483-20220812,Pocillopora,forereef,NA,8,yes
20220812,POC-484,POC-484-20220812,Pocillopora,forereef,NA,8,tag not found but sampled colony
20220812,POC-485,POC-485-20220812,Pocillopora,forereef,NA,8,yes
20220812,POC-476,POC-476-20220812,Pocillopora,forereef,NA,8,yes
20220917,POC-474,POC-474-20220917,Pocillopora,backreef,P1,9,yes
20220917,POC-475,POC-475-20220917,Pocillopora,backreef,P1,9,yes
20220917,POC-472,POC-472-20220917,Pocillopora,backreef,P2,9,yes
20220917,POC-473,POC-473-20220917,Pocillopora,backreef,P2,9,yes
20220917,POC-466,POC-466-20220917,Pocillopora,backreef,P3,9,yes
20220917,POC-467,POC-467-20220917,Pocillopora,backreef,P3,9,yes
20220917,POC-468,POC-468-20220917,Pocillopora,backreef,P4,9,yes
20220917,POC-469,POC-469-20220917,Pocillopora,backreef,P4,9,yes
20220917,POC-470,POC-470-20220917,Pocillopora,backreef,P5,9,yes
20220917,POC-471,POC-471-20220917,Pocillopora,backreef,P5,9,yes
20220930,POC-477,POC-477-20220930,Pocillopora,forereef,NA,9,yes
20220930,POC-478,POC-478-20220930,Pocillopora,forereef,NA,9,yes
20220930,POC-479,POC-479-20220930,Pocillopora,forereef,NA,9,yes
20220930,POC-480,POC-480-20220930,Pocillopora,forereef,NA,9,yes
20220930,POC-481,POC-481-20220930,Pocillopora,forereef,NA,9,yes
20220930,POC-482,POC-482-20220930,Pocillopora,forereef,NA,9,yes
20220930,POC-483,POC-483-20220930,Pocillopora,forereef,NA,9,yes
20220930,POC-484,POC-484-20220930,Pocillopora,forereef,NA,9,tag not found but sampled colony
20220930,POC-485,POC-485-20220930,Pocillopora,forereef,NA,9,yes
20220930,POC-476,POC-476-20220930,Pocillopora,forereef,NA,9,yes
20221015,POC-474,POC-474-20221015,Pocillopora,backreef,P1,10,yes
20221015,POC-475,POC-475-20221015,Pocillopora,backreef,P1,10,yes
20221015,POC-472,POC-472-20221015,Pocillopora,backreef,P2,10,yes
20221015,POC-473,POC-473-20221015,Pocillopora,backreef,P2,10,yes
20221015,POC-466,POC-466-20221015,Pocillopora,backreef,P3,10,yes
20221015,POC-467,POC-467-20221015,Pocillopora,backreef,P3,10,yes
20221015,POC-468,POC-468-20221015,Pocillopora,backreef,P4,10,yes
20221015,POC-469,POC-469-20221015,Pocillopora,backreef,P4,10,yes
20221015,POC-470,POC-470-20221015,Pocillopora,backreef,P5,10,yes
20221015,POC-471,POC-471-20221015,Pocillopora,backreef,P5,10,yes
20221017,POC-477,POC-477-20221017,Pocillopora,forereef,NA,10,yes
20221017,POC-478,POC-478-20221017,Pocillopora,forereef,NA,10,yes
20221017,POC-479,POC-479-20221017,Pocillopora,forereef,NA,10,yes
20221017,POC-480,POC-480-20221017,Pocillopora,forereef,NA,10,yes
20221017,POC-481,POC-481-20221017,Pocillopora,forereef,NA,10,yes
20221017,POC-482,POC-482-20221017,Pocillopora,forereef,NA,10,yes
20221017,POC-483,POC-483-20221017,Pocillopora,forereef,NA,10,yes
20221017,POC-484,POC-484-20221017,Pocillopora,forereef,NA,10,tag not found but sampled colony
20221017,POC-485,POC-485-20221017,Pocillopora,forereef,NA,10,yes
20221017,POC-476,POC-476-20221017,Pocillopora,forereef,NA,10,yes
20221111,POC-474,POC-474-20221111,Pocillopora,backreef,P1,10,yes
20221111,POC-475,POC-475-20221111,Pocillopora,backreef,P1,10,yes
20221111,POC-472,POC-472-20221111,Pocillopora,backreef,P2,10,yes
20221111,POC-473,POC-473-20221111,Pocillopora,backreef,P2,10,yes
20221111,POC-466,POC-466-20221111,Pocillopora,backreef,P3,10,yes
20221111,POC-467,POC-467-20221111,Pocillopora,backreef,P3,10,yes
20221111,POC-468,POC-468-20221111,Pocillopora,backreef,P4,10,yes
20221111,POC-469,POC-469-20221111,Pocillopora,backreef,P4,10,yes
20221111,POC-470,POC-470-20221111,Pocillopora,backreef,P5,10,yes
20221111,POC-471,POC-471-20221111,Pocillopora,backreef,P5,10,yes
20221110,POC-477,POC-477-20221110,Pocillopora,forereef,NA,10,yes
20221110,POC-478,POC-478-20221110,Pocillopora,forereef,NA,10,yes
20221110,POC-479,POC-479-20221110,Pocillopora,forereef,NA,10,yes
20221110,POC-480,POC-480-20221110,Pocillopora,forereef,NA,10,yes
20221110,POC-481,POC-481-20221110,Pocillopora,forereef,NA,10,yes
20221110,POC-482,POC-482-20221110,Pocillopora,forereef,NA,10,yes
20221110,POC-483,POC-483-20221110,Pocillopora,forereef,NA,10,yes
20221110,POC-484,POC-484-20221110,Pocillopora,forereef,NA,10,tag not found but sampled colony
20221110,POC-485,POC-485-20221110,Pocillopora,forereef,NA,10,yes
20221110,POC-476,POC-476-20221110,Pocillopora,forereef,NA,10,yes
