pan_id,full_sample_id,partner,volume,initial.mass.g,dry.pan.mass.g,burnt.pan.mass.g,
185,POC-476-20220217,sym,5,0.7323,0.7467,0.7465,0.0142
186,POC-477-20220217,sym,5,0.7466,0.7606,0.7602,0.0136
187,POC-478-20220217,sym,5,0.7411,0.7545,0.7543,0.0132
188,POC-479-20220217,sym,5,0.7435,0.7574,0.7575,0.014
189,POC-480-20220217,sym,5,0.7452,0.7601,0.7608,0.0156
190,POC-481-20220217,sym,5,0.7411,0.753,0.7565,0.0154
191,POC-482-20220217,sym,5,0.7421,0.7456,0.7429,0.0008
192,POC-483-20220217,sym,5,0.7349,0.7519,0.7481,0.0132
193,POC-484-20220217,sym,5,0.7566,0.7719,0.7694,0.0128
194,POC-485-20220217,sym,5,0.734,0.7507,0.7467,0.0127
195,POC-466-20220315,sym,5,0.7395,0.7543,0.7545,0.015
196,POC-467-20220315,sym,5,0.7422,0.759,0.7562,0.014
197,POC-468-20220315,sym,5,0.7356,0.7501,0.7484,0.0128
198,POC-469-20220315,sym,5,0.7484,0.7612,0.7613,0.0129
199,POC-470-20220315,sym,5,0.7217,0.7461,0.7447,0.023
200,POC-471-20220315,sym,5,0.7306,0.7426,0.7432,0.0126
201,POC-472-20220315,sym,5,0.7457,0.7599,0.7587,0.013
202,POC-473-20220315,sym,5,0.7532,0.7662,0.7652,0.012
203,POC-474-20220315,sym,5,0.7366,0.7492,0.7483,0.0117
204,POC-475-20220315,sym,5,0.7371,0.7501,0.7504,0.0133
205,POC-476-20220316,sym,5,0.7295,0.7436,0.7431,0.0136
206,POC-477-20220316,sym,5,0.7447,0.7542,0.7576,0.0129
207,POC-478-20220316,sym,5,0.7492,0.7621,0.7611,0.0119
208,POC-479-20220316,sym,5,0.7379,0.7527,0.7518,0.0139
209,POC-480-20220316,sym,5,0.7362,0.7493,0.7481,0.0119
210,POC-481-20220316,sym,5,0.7379,0.7511,0.75,0.0121
211,POC-482-20220316,sym,5,0.74,0.7539,0.7541,0.0141
212,POC-483-20220316,sym,5,0.755,0.7696,0.767,0.012
213,POC-484-20220316,sym,5,0.7275,0.7397,0.7386,0.0111
214,POC-485-20220316,sym,5,0.7518,0.7627,0.7625,0.0107
