pan_id,full_sample_id,partner,volume,initial.mass.g,dry.pan.mass.g,burnt.pan.mass.g,
95,POC-467-20220515,host,4,0.7439,0.7695,0.766,0.0221
96,POC-468-20220515,host,4,0.7525,0.7842,0.7801,0.0276
97,POC-469-20220515,host,4,0.7486,0.7965,0.7907,0.0421
98,POC-470-20220515,host,4,0.7311,0.7728,0.7666,0.0355
99,POC-471-20220515,host,4,0.7375,0.7935,0.7824,0.0449
100,POC-472-20220515,host,4,0.7392,0.7891,0.781,0.0418
101,POC-473-20220515,host,4,0.7488,0.8144,0.7999,0.0511
102,POC-474-20220515,host,4,0.7491,0.8012,0.7925,0.0434
103,POC-475-20220515,host,4,0.7414,0.789,0.784,0.0426
104,POC-476-20220517,host,4,0.7321,0.7844,0.7742,0.0421
105,POC-477-20220517,host,4,0.7496,0.8081,0.7939,0.0443
106,POC-478-20220517,host,4,0.7591,0.8139,0.8033,0.0442
107,POC-479-20220517,host,4,0.7256,0.7745,0.7655,0.0399
108,POC-480-20220517,host,4,0.729,0.7778,0.771,0.042
109,POC-481-20220517,host,4,0.7467,0.8013,0.79,0.0433
110,POC-482-20220517,host,4,0.7472,0.7956,0.7875,0.0403
111,POC-483-20220517,host,4,0.736,0.791,0.78,0.044
112,POC-484-20220517,host,4,0.7501,0.799,0.7921,0.042
113,POC-485-20220517,host,4,0.735,0.7853,0.7768,0.0418
114,POC-466-20220414,host,4,0.7478,0.7975,0.7911,0.0433
115,POC-467-20220414,host,4,0.7257,0.7773,0.7699,0.0442
116,POC-468-20220414,host,4,0.7354,0.7951,0.7826,0.0472
117,POC-469-20220414,host,4,0.7335,0.7685,0.7643,0.0308
118,POC-470-20220414,host,4,0.7444,0.7981,0.7885,0.0441
119,POC-471-20220414,host,4,0.7551,0.8215,0.8046,0.0495
120,POC-472-20220414,host,4,0.746,0.816,0.7952,0.0492
121,POC-473-20220414,host,4,0.7407,0.8035,0.7894,0.0487
122,POC-474-20220414,host,4,0.7348,0.7835,0.7762,0.0414
123,POC-475-20220414,host,4,0.7379,0.7945,0.7836,0.0457
124,POC-476-20220413,host,4,0.7408,0.7983,0.7875,0.0467
125,POC-477-20220413,host,4,0.7391,0.7951,0.7846,0.0455
126,POC-478-20220413,host,4,0.7422,0.7899,0.7847,0.0425
127,POC-479-20220413,host,4,0.7382,0.8025,0.7854,0.0472
128,POC-480-20220413,host,4,0.7345,0.7845,0.7771,0.0426
129,POC-481-20220413,host,4,0.7302,0.7882,0.7764,0.0462
130,POC-482-20220413,host,4,0.7318,0.7955,0.782,0.0502
131,POC-483-20220413,host,4,0.7504,0.8026,0.7952,0.0448
132,POC-484-20220413,host,4,0.7288,0.7912,0.778,0.0492
133,POC-485-20220413,host,4,0.7453,0.813,0.7961,0.0508
134,POC-466-20220917,host,4,0.7308,0.7868,0.7765,0.0457
135,POC-467-20220917,host,4,0.7232,0.7769,0.7681,0.0449
136,POC-468-20220917,host,4,0.7396,0.7899,0.7834,0.0438
137,POC-469-20220917,host,4,0.7482,0.7878,0.7806,0.0324
138,POC-470-20220917,host,4,0.7346,0.7915,0.7809,0.0463
139,POC-471-20220917,host,4,0.7409,0.7967,0.786,0.0451
140,POC-472-20220917,host,4,0.74,0.8112,0.7898,0.0498
141,POC-473-20220917,host,4,0.7361,0.7958,0.7851,0.049
142,POC-474-20220917,host,4,0.7642,0.8241,0.8112,0.047
143,POC-475-20220917,host,4,0.7397,0.7899,0.7824,0.0427
144,POC-476-20220930,host,4,0.7349,0.7867,0.7762,0.0413
145,POC-477-20220930,host,4,0.738,0.7892,0.7789,0.0409
146,POC-478-20220930,host,4,0.7352,0.793,0.7796,0.0444
147,POC-479-20220930,host,4,0.7396,0.7905,0.7811,0.0415
148,POC-480-20220930,host,4,0.7321,0.7812,0.7738,0.0417
149,POC-481-20220930,host,4,0.7289,0.7965,0.7764,0.0475
150,POC-482-20220930,host,4,0.7333,0.7841,0.7747,0.0414
151,POC-483-20220930,host,4,0.7309,0.7877,0.7757,0.0448
152,POC-484-20220930,host,4,0.7329,0.7765,0.7704,0.0375
153,POC-485-20220930,host,4,0.7409,0.788,0.7813,0.0404
154,POC-175,host,4,0.7254,0.7609,0.7595,0.0341
155,POC-466-20220727,host,4,0.7299,0.7768,0.7742,0.0443
156,POC-467-20220727,host,4,0.7265,0.7784,0.7476,0.0211
157,POC-468-20220727,host,4,0.7376,0.7928,0.7498,0.0122
158,POC-469-20220727,host,4,0.7394,0.8043,0.7503,0.0109
159,POC-470-20220727,host,4,0.7492,0.8019,0.7568,0.0076
160,POC-471-20220727,host,4,0.7312,0.7709,0.7677,0.0365
161,POC-472-20220727,host,4,0.7448,0.7975,0.792,0.0472
162,POC-473-20220727,host,4,0.7321,0.7924,0.7809,0.0488
163,POC-474-20220727,host,4,0.736,0.7892,0.7836,0.0476
164,POC-475-20220727,host,4,0.7405,0.7883,0.7852,0.0447
165,POC-476-20220729,host,4,0.7412,0.802,0.79,0.0488
166,POC-477-20220729,host,4,0.7347,0.7941,0.7835,0.0488
167,POC-478-20220729,host,4,0.7404,0.7975,0.7886,0.0482
168,POC-479-20220729,host,4,0.741,0.8026,0.7893,0.0483
169,POC-480-20220729,host,4,0.7438,0.7869,0.7785,0.0347
170,POC-481-20220729,host,4,0.7426,0.7955,0.7825,0.0399
171,POC-482-20220729,host,4,0.7288,0.7909,0.7764,0.0476
172,POC-483-20220729,host,4,0.7273,0.7688,0.7637,0.0364
