Software Version,3.05.11,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\20240202_host_Plate1_BCA_OC=ct_June.xpt,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\BCA_Protein.prt,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,
Date,2/7/24,,,,,,,,,,,,
Time,12:11:38 PM,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,
Reader Serial Number:,19041023,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,
,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,
Read,562,,,,,,,,,,,,
,Absorbance Endpoint,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,
,Wavelengths:  562,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,24.2,,,,,,,,,,,,
,,,,,,,,,,,,,
Results,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,2.153,1.75,1.227,0.915,0.595,0.415,0.259,0.104,0.075,1.345,1.554,1.632,562:562
B,2.657,1.729,1.237,1.017,0.743,0.411,0.26,0.107,0.076,1.296,1.724,1.489,562:562
C,1.045,1.572,1.911,1.504,1.912,1.127,1.14,0.591,0.694,0.619,0.73,0.824,562:562
D,1.095,1.609,1.886,1.464,1.875,1.196,1.168,0.613,0.744,0.564,0.752,0.832,562:562
E,0.994,0.809,0.806,1.014,0.704,0.97,1.536,1.338,1.448,1.502,1.287,2.16,562:562
F,1.037,0.819,0.843,1.074,0.735,0.992,1.525,1.319,1.615,1.42,1.415,2.142,562:562
G,1.315,1.485,1.775,0.525,1.446,1.396,1.607,1.088,1.616,1.339,1.516,0.898,562:562
H,1.411,1.578,1.85,0.609,1.567,1.2,1.641,1.208,1.721,1.415,1.377,0.815,562:562
