well,full_sample_id
A1,POC-466-20220917
A2,POC-467-20220917
A3,POC-468-20220917
A4,POC-469-20220917
A5,POC-470-20220917
A6,POC-471-20220917
A7,POC-472-20220917
A8,POC-473-20220917
A9,POC-474-20220917
A10,POC-475-20220917
A11,POC-476-20220930
A12,POC-477-20220930
B1,POC-466-20220917
B2,POC-467-20220917
B3,POC-468-20220917
B4,POC-469-20220917
B5,POC-470-20220917
B6,POC-471-20220917
B7,POC-472-20220917
B8,POC-473-20220917
B9,POC-474-20220917
B10,POC-475-20220917
B11,POC-476-20220930
B12,POC-477-20220930
C1,POC-478-20220930
C2,POC-479-20220930
C3,POC-480-20220930
C4,POC-481-20220930
C5,POC-482-20220930
C6,POC-483-20220930
C7,POC-484-20220930
C8,POC-466-20220811
C9,POC-467-20220811
C10,POC-468-20220811
C11,POC-469-20220811
C12,POC-470-20220811
D1,POC-478-20220930
D2,POC-479-20220930
D3,POC-480-20220930
D4,POC-481-20220930
D5,POC-482-20220930
D6,POC-483-20220930
D7,POC-484-20220930
D8,POC-466-20220811
D9,POC-467-20220811
D10,POC-468-20220811
D11,POC-469-20220811
D12,POC-470-20220811
E1,POC-471-20220811
E2,POC-472-20220811
E3,POC-473-20220811
E4,POC-474-20220811
E5,POC-475-20220811
E6,POC-476-20220812
E7,POC-477-20220812
E8,POC-478-20220812
E9,POC-479-20220812
E10,POC-480-20220812
E11,POC-481-20220812
E12,POC-482-20220812
F1,POC-471-20220811
F2,POC-472-20220811
F3,POC-473-20220811
F4,POC-474-20220811
F5,POC-475-20220811
F6,POC-476-20220812
F7,POC-477-20220812
F8,POC-478-20220812
F9,POC-479-20220812
F10,POC-480-20220812
F11,POC-481-20220812
F12,POC-482-20220812
G1,StandardA
G2,StandardB
G3,StandardC
G4,StandardD
G5,StandardE
G6,StandardF
G7,StandardG
G8,StandardH
G9,StandardI
G10,POC-483-20220812
G11,POC-484-20220812
G12,NA
H1,StandardA
H2,StandardB
H3,StandardC
H4,StandardD
H5,StandardE
H6,StandardF
H7,StandardG
H8,StandardH
H9,StandardI
H10,POC-483-20220812
H11,POC-484-20220812
H12,NA
