well,full_sample_id
A1,StandardA
A2,StandardB
A3,StandardC
A4,StandardD
A5,StandardE
A6,StandardF
A7,StandardG
A8,StandardH
A9,StandardI
A10,NA
A11,NA
A12,NA
B1,StandardA
B2,StandardB
B3,StandardC
B4,StandardD
B5,StandardE
B6,StandardF
B7,StandardG
B8,StandardH
B9,StandardI
B10,NA
B11,NA
B12,NA
C1,POC-485-20220217
C2,NA
C3,NA
C4,NA
C5,NA
C6,NA
C7,NA
C8,NA
C9,NA
C10,NA
C11,NA
C12,NA
D1,POC-485-20220217
D2,NA
D3,NA
D4,NA
D5,NA
D6,NA
D7,NA
D8,NA
D9,NA
D10,NA
D11,NA
D12,NA
E1,NA
E2,NA
E3,NA
E4,NA
E5,NA
E6,NA
E7,NA
E8,NA
E9,NA
E10,NA
E11,NA
E12,NA
F1,NA
F2,NA
F3,NA
F4,NA
F5,NA
F6,NA
F7,NA
F8,NA
F9,NA
F10,NA
F11,NA
F12,NA
G1,NA
G2,NA
G3,NA
G4,NA
G5,NA
G6,NA
G7,NA
G8,NA
G9,NA
G10,NA
G11,NA
G12,NA
H1,NA
H2,NA
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
