Well,562:562
A1,2.03
B1,1.904
C1,1.006
D1,0.932
E1,0.98
F1,1.052
G1,1.095
H1,1.157
A2,0.994
B2,0.949
C2,0.757
D2,0.765
E2,1.114
F2,1.173
G2,1.866
H2,2.205
A3,0.863
B3,0.873
C3,0.499
D3,0.605
E3,1.114
F3,1.164
G3,1.211
H3,1.351
A4,0.655
B4,0.736
C4,1.126
D4,1.243
E4,0.792
F4,0.85
G4,1.074
H4,1.085
A5,0.874
B5,0.897
C5,0.561
D5,0.602
E5,0.804
F5,0.976
G5,0.807
H5,0.943
A6,1.112
B6,1.132
C6,0.804
D6,0.904
E6,0.84
F6,0.883
G6,0.447
H6,0.471
A7,1.465
B7,1.534
C7,0.458
D7,0.488
E7,0.941
F7,1.071
G7,0.286
H7,0.294
A8,0.926
B8,0.918
C8,1.049
D8,1.103
E8,0.911
F8,1.011
G8,0.154
H8,0.152
A9,1.031
B9,1.057
C9,1.105
D9,1.065
E9,0.972
F9,1.001
G9,0.127
H9,0.119
A10,0.578
B10,0.525
C10,0.907
D10,0.882
E10,0.639
F10,0.721
G10,0.826
H10,0.809
A11,0.815
B11,0.79
C11,0.764
D11,0.761
E11,0.788
F11,0.766
G11,0.66
H11,0.671
A12,0.708
B12,0.687
C12,0.905
D12,0.928
E12,0.86
F12,0.875
G12,0.099
H12,0.098
