well,full_sample_id
A1,NA
A2,NA
A3,NA
A4,NA
A5,NA
A6,NA
A7,NA
A8,NA
A9,NA
A10,NA
A11,NA
A12,NA
B1,NA
B2,NA
B3,NA
B4,NA
B5,NA
B6,NA
B7,NA
B8,NA
B9,NA
B10,NA
B11,NA
B12,NA
C1,NA
C2,NA
C3,NA
C4,NA
C5,NA
C6,POC-466-20220414
C7,POC-467-20220414
C8,POC-468-20220414
C9,POC-469-20220414
C10,POC-470-20220414
C11,POC-471-20220414
C12,POC-472-20220414
D1,NA
D2,NA
D3,NA
D4,NA
D5,NA
D6,POC-466-20220414
D7,POC-467-20220414
D8,POC-468-20220414
D9,POC-469-20220414
D10,POC-470-20220414
D11,POC-471-20220414
D12,POC-472-20220414
E1,POC-473-20220414
E2,POC-474-20220414
E3,POC-475-20220414
E4,POC-476-20220413
E5,POC-477-20220413
E6,POC-478-20220413
E7,POC-479-20220413
E8,POC-480-20220413
E9,POC-481-20220413
E10,POC-482-20220413
E11,POC-483-20220413
E12,POC-484-20220413
F1,NA
F2,NA
F3,NA
F4,NA
F5,NA
F6,NA
F7,NA
F8,NA
F9,NA
F10,NA
F11,NA
F12,NA
G1,StandardA
G2,StandardB
G3,StandardC
G4,StandardD
G5,StandardE
G6,StandardF
G7,StandardG
G8,StandardH
G9,StandardI
G10,POC-485-20220413
G11,NA
G12,NA
H1,StandardA
H2,StandardB
H3,StandardC
H4,StandardD
H5,StandardE
H6,StandardF
H7,StandardG
H8,StandardH
H9,StandardI
H10,POC-485-20220413
H11,NA
H12,NA
