well,full_sample_id
A1,StandardA
A2,StandardA
A3,StandardB
A4,StandardB
A5,StandardC
A6,StandardC
A7,StandardD
A8,StandardD
A9,StandardE
A10,StandardE
A11,StandardF
A12,StandardF
B1,StandardG
B2,StandardG
B3,StandardI
B4,StandardI
B5,StandardH
B6,StandardH
B7,POC-474-20220315
B8,POC-474-20220315
B9,POC-475-20220315
B10,POC-475-20220315
B11,POC-472-20220315
B12,POC-472-20220315
C1,POC-473-20220315
C2,POC-473-20220315
C3,POC-466-20220315
C4,POC-466-20220315
C5,POC-467-20220315
C6,POC-467-20220315
C7,POC-468-20220315
C8,POC-468-20220315
C9,POC-469-20220315
C10,POC-469-20220315
C11,POC-470-20220315
C12,POC-470-20220315
D1,POC-471-20220315
D2,POC-471-20220315
D3,POC-476-20220316
D4,POC-476-20220316
D5,POC-477-20220316
D6,POC-477-20220316
D7,POC-478-20220316
D8,POC-478-20220316
D9,POC-479-20220316
D10,POC-479-20220316
D11,POC-480-20220316
D12,POC-480-20220316
E1,POC-481-20220316
E2,POC-481-20220316
E3,POC-482-20220316
E4,POC-482-20220316
E5,POC-483-20220316
E6,POC-483-20220316
E7,POC-484-20220316
E8,POC-484-20220316
E9,POC-485-20220316
E10,POC-485-20220316
E11,NA
E12,NA
F1,NA
F2,NA
F3,NA
F4,NA
F5,NA
F6,NA
F7,NA
F8,NA
F9,NA
F10,NA
F11,NA
F12,NA
G1,NA
G2,NA
G3,NA
G4,NA
G5,NA
G6,NA
G7,NA
G8,NA
G9,NA
G10,NA
G11,NA
G12,NA
H1,NA
H2,NA
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
