well,full_sample_id
A1,NA
A2,NA
A3,NA
A4,NA
A5,NA
A6,NA
A7,NA
A8,NA
A9,NA
A10,NA
A11,NA
A12,NA
B1,NA
B2,NA
B3,NA
B4,NA
B5,NA
B6,NA
B7,NA
B8,NA
B9,NA
B10,NA
B11,NA
B12,NA
C1,NA
C2,NA
C3,NA
C4,NA
C5,NA
C6,NA
C7,NA
C8,NA
C9,POC-466-20220215
C10,POC-467-20220215
C11,POC-468-20220215
C12,POC-469-20220215
D1,NA
D2,NA
D3,NA
D4,NA
D5,NA
D6,NA
D7,NA
D8,NA
D9,POC-466-20220215
D10,POC-467-20220215
D11,POC-468-20220215
D12,POC-469-20220215
E1,POC-470-20220215
E2,POC-471-20220215
E3,POC-472-20220215
E4,POC-473-20220215
E5,POC-474-20220215
E6,POC-475-20220215
E7,POC-476-20220217
E8,POC-477-20220217
E9,POC-478-20220217
E10,POC-479-20220217
E11,POC-480-20220217
E12,POC-481-20220217
F1,POC-470-20220215
F2,POC-471-20220215
F3,POC-472-20220215
F4,POC-473-20220215
F5,POC-474-20220215
F6,POC-475-20220215
F7,POC-476-20220217
F8,POC-477-20220217
F9,POC-478-20220217
F10,POC-479-20220217
F11,POC-480-20220217
F12,POC-481-20220217
G1,StandardA
G2,StandardB
G3,StandardC
G4,StandardD
G5,StandardE
G6,StandardF
G7,StandardG
G8,StandardH
G9,StandardI
G10,POC-482-20220217
G11,POC-483-20220217
G12,POC-484-20220217
H1,StandardA
H2,StandardB
H3,StandardC
H4,StandardD
H5,StandardE
H6,StandardF
H7,StandardG
H8,StandardH
H9,StandardI
H10,POC-482-20220217
H11,POC-483-20220217
H12,POC-484-20220217
