well,full_sample_id
A1,StandardA
A2,StandardB
A3,StandardC
A4,StandardD
A5,StandardE
A6,StandardF
A7,StandardG
A8,StandardH
A9,StandardI
A10,POC-175
A11,POC-466-20220515
A12,POC-467-20220515
B1,StandardA
B2,StandardB
B3,StandardC
B4,StandardD
B5,StandardE
B6,StandardF
B7,StandardG
B8,StandardH
B9,StandardI
B10,POC-175
B11,POC-466-20220515
B12,POC-467-20220515
C1,POC-468-20220515
C2,POC-469-20220515
C3,POC-470-20220515
C4,POC-471-20220515
C5,POC-472-20220515
C6,POC-473-20220515
C7,POC-474-20220515
C8,POC-475-20220515
C9,POC-476-20220517
C10,POC-477-20220517
C11,POC-478-20220517
C12,POC-479-20220517
D1,POC-468-20220515
D2,POC-469-20220515
D3,POC-470-20220515
D4,POC-471-20220515
D5,POC-472-20220515
D6,POC-473-20220515
D7,POC-474-20220515
D8,POC-475-20220515
D9,POC-476-20220517
D10,POC-477-20220517
D11,POC-478-20220517
D12,POC-479-20220517
E1,POC-480-20220517
E2,POC-481-20220517
E3,POC-482-20220517
E4,POC-483-20220517
E5,POC-484-20220517
E6,POC-466-20220727
E7,POC-467-20220727
E8,POC-468-20220727
E9,POC-469-20220727
E10,POC-470-20220727
E11,POC-471-20220727
E12,POC-472-20220727
F1,POC-480-20220517
F2,POC-481-20220517
F3,POC-482-20220517
F4,POC-483-20220517
F5,POC-484-20220517
F6,POC-466-20220727
F7,POC-467-20220727
F8,POC-468-20220727
F9,POC-469-20220727
F10,POC-470-20220727
F11,POC-471-20220727
F12,POC-472-20220727
G1,POC-473-20220727
G2,POC-474-20220727
G3,POC-475-20220727
G4,POC-476-20220729
G5,POC-477-20220729
G6,POC-478-20220729
G7,POC-479-20220729
G8,POC-480-20220729
G9,POC-481-20220729
G10,POC-482-20220729
G11,POC-483-20220729
G12,POC-484-20220729
H1,POC-473-20220727
H2,POC-474-20220727
H3,POC-475-20220727
H4,POC-476-20220729
H5,POC-477-20220729
H6,POC-478-20220729
H7,POC-479-20220729
H8,POC-480-20220729
H9,POC-481-20220729
H10,POC-482-20220729
H11,POC-483-20220729
H12,POC-484-20220729
