well,full_sample_id
A1,StandardA
A2,StandardB
A3,StandardC
A4,StandardD
A5,StandardE
A6,StandardF
A7,StandardG
A8,StandardH
A9,StandardI
A10,POC-466-20221015
A11,POC-467-20221015
A12,POC-468-20221015
B1,StandardA
B2,StandardB
B3,StandardC
B4,StandardD
B5,StandardE
B6,StandardF
B7,StandardG
B8,StandardH
B9,StandardI
B10,POC-466-20221015
B11,POC-467-20221015
B12,POC-468-20221015
C1,POC-469-20221015
C2,POC-470-20221015
C3,POC-471-20221015
C4,POC-472-20221015
C5,POC-473-20221015
C6,POC-474-20221015
C7,POC-475-20221015
C8,POC-476-20221017
C9,POC-477-20221017
C10,POC-478-20221017
C11,POC-479-20221017
C12,POC-480-20221017
D1,POC-469-20221015
D2,POC-470-20221015
D3,POC-471-20221015
D4,POC-472-20221015
D5,POC-473-20221015
D6,POC-474-20221015
D7,POC-475-20221015
D8,POC-476-20221017
D9,POC-477-20221017
D10,POC-478-20221017
D11,POC-479-20221017
D12,POC-480-20221017
E1,POC-481-20221017
E2,POC-482-20221017
E3,POC-483-20221017
E4,POC-484-20221017
E5,POC-485-20221017
E6,POC-466-20220616
E7,POC-467-20220616
E8,POC-468-20220616
E9,POC-469-20220616
E10,POC-470-20220616
E11,POC-471-20220616
E12,POC-472-20220616
F1,POC-481-20221017
F2,POC-482-20221017
F3,POC-483-20221017
F4,POC-484-20221017
F5,POC-485-20221017
F6,POC-466-20220616
F7,POC-467-20220616
F8,POC-468-20220616
F9,POC-469-20220616
F10,POC-470-20220616
F11,POC-471-20220616
F12,POC-472-20220616
G1,POC-473-20220616
G2,POC-474-20220616
G3,POC-475-20220616
G4,POC-476-20220617
G5,POC-477-20220617
G6,POC-478-20220617
G7,POC-479-20220617
G8,POC-480-20220617
G9,POC-481-20220617
G10,POC-482-20220617
G11,POC-483-20220617
G12,POC-484-20220617
H1,POC-473-20220616
H2,POC-474-20220616
H3,POC-475-20220616
H4,POC-476-20220617
H5,POC-477-20220617
H6,POC-478-20220617
H7,POC-479-20220617
H8,POC-480-20220617
H9,POC-481-20220617
H10,POC-482-20220617
H11,POC-483-20220617
H12,POC-484-20220617
