Software Version,3.05.11,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\20240207_Plate3_host_BCA.xpt,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\BCA_Protein.prt,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,
Date,2/7/24,,,,,,,,,,,,
Time,6:58:14 PM,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,
Reader Serial Number:,19041023,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,
,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,
Read,562,,,,,,,,,,,,
,Absorbance Endpoint,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,
,Wavelengths:  562,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,24.7,,,,,,,,,,,,
,,,,,,,,,,,,,
Results,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.679,0.613,0.346,0.712,0.308,0.636,0.386,0.422,0.389,0.407,0.372,0.275,562:562
B,0.624,0.669,0.378,0.68,0.419,0.6,0.372,0.542,0.319,0.449,0.354,0.251,562:562
C,0.285,0.362,0.317,0.354,0.29,0.502,0.331,0.297,0.849,0.873,0.619,0.978,562:562
D,0.361,0.372,0.296,0.391,0.264,0.578,0.335,0.351,0.885,0.879,0.605,1.003,562:562
E,0.921,1.05,0.954,0.868,0.583,0.759,0.553,0.529,0.509,0.614,0.576,0.722,562:562
F,1.137,1.114,0.997,1.023,0.611,0.733,0.603,0.537,0.475,0.634,0.558,0.727,562:562
G,1.905,1.74,1.35,1.058,0.781,0.504,0.341,0.188,0.158,0.466,0.821,0.625,562:562
H,2.14,1.646,1.348,1.047,0.811,0.524,0.341,0.191,0.161,0.456,0.833,0.652,562:562
