colony_id,Sample,Diameter,weight1.g,weight2.g,timepoint,site,Notes
POC-470,coral,NA,18.459,19.427,March,Mahana,
POC-466,coral,NA,8.992,9.467,March,Mahana,
POC-482,coral,NA,9.09,9.618,March,FR,
POC-484,coral,NA,17.453,18.553,March,FR,
POC-467,coral,NA,11.583,12.461,March,Mahana,
POC-468,coral,NA,10.117,10.69,March,Mahana,
POC-479,coral,NA,9.773,10.367,March,FR,
POC-472,coral,NA,7.686,8.135,March,Mahana,
POC-481,coral,NA,19.732,20.78,March,FR,
POC-471,coral,NA,25.142,26.843,March,Mahana,
POC-483,coral,NA,20.519,21.848,March,FR,
POC-473,coral,NA,11.378,12.266,March,Mahana,
POC-485,coral,NA,14.213,12.266,March,FR,
POC-477,coral,NA,3.948,4.229,March,FR,
POC-474,coral,NA,17.625,18.408,March,Mahana,
POC-469,coral,NA,24.245,25.825,March,Mahana,
POC-478,coral,NA,25.88,27.528,March,FR,
POC-476,coral,NA,13.479,14.472,March,FR,
POC-475,coral,NA,13.467,14.237,March,Mahana,
POC-480,coral,NA,3.35,3.525,March,FR,
