date,time,raw,calibrated,logger
5/3/22,9:10:00,900,1108.6,2
5/3/22,9:20:00,2538,3126.4,2
5/3/22,9:30:00,5855,7212.3,2
5/3/22,9:40:00,4692,5779.7,2
5/3/22,9:50:00,4675,5758.8,2
5/3/22,10:00:00,5722,7048.5,2
5/3/22,10:10:00,8138,10024.6,2
5/3/22,10:20:00,7087,8729.9,2
5/3/22,10:30:00,3564,4390.2,2
5/3/22,10:40:00,3100,3818.7,2
5/3/22,10:50:00,4054,4993.8,2
5/3/22,11:00:00,3957,4874.3,2
5/3/22,11:10:00,5991,7379.9,2
5/3/22,11:20:00,5893,7259.1,2
5/3/22,11:30:00,13776,16969.6,2
5/3/22,11:40:00,13221,16285.9,2
5/3/22,11:50:00,16509,20336.2,2
5/3/22,12:00:00,16603,20452,2
5/3/22,12:10:00,16630,20485.2,2
5/3/22,12:20:00,16544,20379.3,2
5/3/22,12:30:00,16246,20012.2,2
5/3/22,12:40:00,16111,19845.9,2
5/3/22,12:50:00,16331,20116.9,2
5/3/22,13:00:00,16156,19901.3,2
5/3/22,13:10:00,13486,16612.4,2
5/3/22,13:20:00,14891,18343.1,2
5/3/22,13:30:00,15162,18676.9,2
5/3/22,13:40:00,14883,18333.2,2
5/3/22,13:50:00,14557,17931.6,2
5/3/22,14:00:00,14450,17799.8,2
5/3/22,14:10:00,13124,16166.4,2
5/3/22,14:20:00,13301,16384.5,2
5/3/22,14:30:00,12941,15941,2
5/3/22,14:40:00,12403,15278.3,2
5/3/22,14:50:00,9167,11292.1,2
5/3/22,15:00:00,11464,14121.6,2
5/3/22,15:10:00,10941,13477.4,2
5/3/22,15:20:00,10265,12644.7,2
5/3/22,15:30:00,9814,12089.1,2
5/3/22,15:40:00,9036,11130.8,2
5/3/22,15:50:00,8334,10266,2
5/3/22,16:00:00,7659,9434.5,2
5/3/22,16:10:00,6937,8545.2,2
5/3/22,16:20:00,6163,7591.7,2
5/3/22,16:30:00,5619,6921.6,2
5/3/22,16:40:00,4998,6156.7,2
5/3/22,16:50:00,4464,5498.9,2
5/3/22,17:00:00,3792,4671.1,2
5/3/22,17:10:00,3088,3803.9,2
5/3/22,17:20:00,2281,2809.8,2
5/3/22,17:30:00,1800,2217.3,2
5/3/22,17:40:00,991,1220.7,2
5/3/22,17:50:00,722,889.4,2
5/3/22,18:00:00,624,768.7,2
5/3/22,18:10:00,354,436.1,2
5/3/22,18:20:00,139,171.2,2
5/3/22,18:30:00,35,43.1,2
5/3/22,18:40:00,6,7.4,2
5/3/22,18:50:00,0,0,2
5/3/22,19:00:00,0,0,2
5/3/22,19:10:00,0,0,2
5/3/22,19:20:00,0,0,2
5/3/22,19:30:00,0,0,2
5/3/22,19:40:00,0,0,2
5/3/22,19:50:00,0,0,2
5/3/22,20:00:00,0,0,2
5/3/22,20:10:00,0,0,2
5/3/22,20:20:00,0,0,2
5/3/22,20:30:00,0,0,2
5/3/22,20:40:00,0,0,2
5/3/22,20:50:00,0,0,2
5/3/22,21:00:00,0,0,2
5/3/22,21:10:00,0,0,2
5/3/22,21:20:00,0,0,2
5/3/22,21:30:00,0,0,2
5/3/22,21:40:00,0,0,2
5/3/22,21:50:00,0,0,2
5/3/22,22:00:00,0,0,2
5/3/22,22:10:00,0,0,2
5/3/22,22:20:00,0,0,2
5/3/22,22:30:00,0,0,2
5/3/22,22:40:00,0,0,2
5/3/22,22:50:00,0,0,2
5/3/22,23:00:00,0,0,2
5/3/22,23:10:00,0,0,2
5/3/22,23:20:00,0,0,2
5/3/22,23:30:00,0,0,2
5/3/22,23:40:00,0,0,2
5/3/22,23:50:00,0,0,2
5/3/22,24:00:00,0,0,2
6/3/22,0:10:00,0,0,2
6/3/22,0:20:00,0,0,2
6/3/22,0:30:00,0,0,2
6/3/22,0:40:00,0,0,2
6/3/22,0:50:00,0,0,2
6/3/22,1:00:00,0,0,2
6/3/22,1:10:00,0,0,2
6/3/22,1:20:00,0,0,2
6/3/22,1:30:00,0,0,2
6/3/22,1:40:00,0,0,2
6/3/22,1:50:00,0,0,2
6/3/22,2:00:00,0,0,2
6/3/22,2:10:00,0,0,2
6/3/22,2:20:00,0,0,2
6/3/22,2:30:00,0,0,2
6/3/22,2:40:00,0,0,2
6/3/22,2:50:00,0,0,2
6/3/22,3:00:00,0,0,2
6/3/22,3:10:00,0,0,2
6/3/22,3:20:00,0,0,2
6/3/22,3:30:00,0,0,2
6/3/22,3:40:00,0,0,2
6/3/22,3:50:00,0,0,2
6/3/22,4:00:00,0,0,2
6/3/22,4:10:00,0,0,2
6/3/22,4:20:00,0,0,2
6/3/22,4:30:00,0,0,2
6/3/22,4:40:00,0,0,2
6/3/22,4:50:00,0,0,2
6/3/22,5:00:00,0,0,2
6/3/22,5:10:00,0,0,2
6/3/22,5:20:00,0,0,2
6/3/22,5:30:00,0,0,2
6/3/22,5:40:00,0,0,2
6/3/22,5:50:00,2,2.5,2
6/3/22,6:00:00,28,34.5,2
6/3/22,6:10:00,128,157.7,2
6/3/22,6:20:00,311,383.1,2
6/3/22,6:30:00,505,622.1,2
6/3/22,6:40:00,770,948.5,2
