date,time,raw,calibrated,logger
5/3/22,9:10:00,1461,1473,1
5/3/22,9:20:00,3347,3374.4,1
5/3/22,9:30:00,5957,6005.8,1
5/3/22,9:40:00,6656,6710.5,1
5/3/22,9:50:00,7651,7713.6,1
5/3/22,10:00:00,10502,10588,1
5/3/22,10:10:00,9239,9314.6,1
5/3/22,10:20:00,6275,6326.4,1
5/3/22,10:30:00,3098,3123.4,1
5/3/22,10:40:00,2615,2636.4,1
5/3/22,10:50:00,2638,2659.6,1
5/3/22,11:00:00,4353,4388.6,1
5/3/22,11:10:00,6001,6050.1,1
5/3/22,11:20:00,5612,5657.9,1
5/3/22,11:30:00,11737,11833.1,1
5/3/22,11:40:00,13404,13513.7,1
5/3/22,11:50:00,14566,14685.3,1
5/3/22,12:00:00,14502,14620.7,1
5/3/22,12:10:00,14630,14749.8,1
5/3/22,12:20:00,14565,14684.3,1
5/3/22,12:30:00,14345,14462.4,1
5/3/22,12:40:00,14263,14379.8,1
5/3/22,12:50:00,14536,14655,1
5/3/22,13:00:00,14382,14499.8,1
5/3/22,13:10:00,11959,12056.9,1
5/3/22,13:20:00,13403,13512.7,1
5/3/22,13:30:00,13508,13618.6,1
5/3/22,13:40:00,13349,13458.3,1
5/3/22,13:50:00,13132,13239.5,1
5/3/22,14:00:00,13046,13152.8,1
5/3/22,14:10:00,11963,12060.9,1
5/3/22,14:20:00,12077,12175.9,1
5/3/22,14:30:00,11721,11817,1
5/3/22,14:40:00,11304,11396.6,1
5/3/22,14:50:00,8360,8428.4,1
5/3/22,15:00:00,10484,10569.8,1
5/3/22,15:10:00,10000,10081.9,1
5/3/22,15:20:00,9383,9459.8,1
5/3/22,15:30:00,8940,9013.2,1
5/3/22,15:40:00,8260,8327.6,1
5/3/22,15:50:00,7649,7711.6,1
5/3/22,16:00:00,7036,7093.6,1
5/3/22,16:10:00,6378,6430.2,1
5/3/22,16:20:00,5738,5785,1
5/3/22,16:30:00,5200,5242.6,1
5/3/22,16:40:00,4664,4702.2,1
5/3/22,16:50:00,4105,4138.6,1
5/3/22,17:00:00,3519,3547.8,1
5/3/22,17:10:00,2851,2874.3,1
5/3/22,17:20:00,2100,2117.2,1
5/3/22,17:30:00,1649,1662.5,1
5/3/22,17:40:00,892,899.3,1
5/3/22,17:50:00,645,650.3,1
5/3/22,18:00:00,560,564.6,1
5/3/22,18:10:00,314,316.6,1
5/3/22,18:20:00,125,126,1
5/3/22,18:30:00,31,31.3,1
5/3/22,18:40:00,6,6,1
5/3/22,18:50:00,0,0,1
5/3/22,19:00:00,0,0,1
5/3/22,19:10:00,0,0,1
5/3/22,19:20:00,0,0,1
5/3/22,19:30:00,0,0,1
5/3/22,19:40:00,0,0,1
5/3/22,19:50:00,0,0,1
5/3/22,20:00:00,0,0,1
5/3/22,20:10:00,0,0,1
5/3/22,20:20:00,0,0,1
5/3/22,20:30:00,0,0,1
5/3/22,20:40:00,0,0,1
5/3/22,20:50:00,0,0,1
5/3/22,21:00:00,0,0,1
5/3/22,21:10:00,0,0,1
5/3/22,21:20:00,0,0,1
5/3/22,21:30:00,0,0,1
5/3/22,21:40:00,0,0,1
5/3/22,21:50:00,0,0,1
5/3/22,22:00:00,0,0,1
5/3/22,22:10:00,0,0,1
5/3/22,22:20:00,0,0,1
5/3/22,22:30:00,0,0,1
5/3/22,22:40:00,0,0,1
5/3/22,22:50:00,0,0,1
5/3/22,23:00:00,0,0,1
5/3/22,23:10:00,0,0,1
5/3/22,23:20:00,0,0,1
5/3/22,23:30:00,0,0,1
5/3/22,23:40:00,0,0,1
5/3/22,23:50:00,0,0,1
5/3/22,24:00:00,0,0,1
6/3/22,0:10:00,0,0,1
6/3/22,0:20:00,0,0,1
6/3/22,0:30:00,0,0,1
6/3/22,0:40:00,0,0,1
6/3/22,0:50:00,0,0,1
6/3/22,1:00:00,0,0,1
6/3/22,1:10:00,0,0,1
6/3/22,1:20:00,0,0,1
6/3/22,1:30:00,0,0,1
6/3/22,1:40:00,0,0,1
6/3/22,1:50:00,0,0,1
6/3/22,2:00:00,0,0,1
6/3/22,2:10:00,0,0,1
6/3/22,2:20:00,0,0,1
6/3/22,2:30:00,0,0,1
6/3/22,2:40:00,0,0,1
6/3/22,2:50:00,0,0,1
6/3/22,3:00:00,0,0,1
6/3/22,3:10:00,0,0,1
6/3/22,3:20:00,0,0,1
6/3/22,3:30:00,0,0,1
6/3/22,3:40:00,0,0,1
6/3/22,3:50:00,0,0,1
6/3/22,4:00:00,0,0,1
6/3/22,4:10:00,0,0,1
6/3/22,4:20:00,0,0,1
6/3/22,4:30:00,0,0,1
6/3/22,4:40:00,0,0,1
6/3/22,4:50:00,0,0,1
6/3/22,5:00:00,0,0,1
6/3/22,5:10:00,0,0,1
6/3/22,5:20:00,0,0,1
6/3/22,5:30:00,0,0,1
6/3/22,5:40:00,0,0,1
6/3/22,5:50:00,2,2,1
6/3/22,6:00:00,25,25.2,1
6/3/22,6:10:00,111,111.9,1
6/3/22,6:20:00,270,272.2,1
6/3/22,6:30:00,441,444.6,1
6/3/22,6:40:00,668,673.5,1
6/3/22,6:50:00,1060,1068.7,1
6/3/22,7:00:00,1678,1691.7,1
6/3/22,7:10:00,1675,1688.7,1
6/3/22,7:20:00,2714,2736.2,1
6/3/22,7:30:00,3339,3366.3,1
6/3/22,7:40:00,3883,3914.8,1
6/3/22,7:50:00,4328,4363.4,1
6/3/22,8:00:00,4752,4790.9,1
6/3/22,8:10:00,5520,5565.2,1
6/3/22,8:20:00,6207,6257.8,1
6/3/22,8:30:00,6798,6853.7,1
6/3/22,8:40:00,7456,7517,1
6/3/22,8:50:00,8145,8211.7,1
6/3/22,9:00:00,8882,8954.7,1
6/3/22,9:10:00,8964,9037.4,1
6/3/22,9:20:00,5599,5644.8,1
6/3/22,9:30:00,8577,8647.2,1
6/3/22,9:40:00,6324,6375.8,1
6/3/22,9:50:00,9118,9192.7,1
6/3/22,10:00:00,11799,11895.6,1
6/3/22,10:10:00,12242,12342.2,1
6/3/22,10:20:00,12635,12738.4,1
6/3/22,10:30:00,12901,13006.6,1
6/3/22,10:40:00,13255,13363.5,1
6/3/22,10:50:00,13718,13830.3,1
6/3/22,11:00:00,13903,14016.8,1
6/3/22,11:10:00,13335,13444.2,1
6/3/22,11:20:00,14267,14383.8,1
6/3/22,11:30:00,14550,14669.1,1
6/3/22,11:40:00,14876,14997.8,1
6/3/22,11:50:00,15324,15449.5,1
6/3/22,12:00:00,15233,15357.7,1
6/3/22,12:10:00,15159,15283.1,1
6/3/22,12:20:00,15605,15732.8,1
6/3/22,12:30:00,15180,15304.3,1
6/3/22,12:40:00,15051,15174.2,1
6/3/22,12:50:00,14562,14681.2,1
6/3/22,13:00:00,14209,14325.3,1
6/3/22,13:10:00,14156,14271.9,1
6/3/22,13:20:00,14321,14438.3,1
6/3/22,13:30:00,14444,14562.3,1
6/3/22,13:40:00,11719,11814.9,1
6/3/22,13:50:00,12374,12475.3,1
6/3/22,14:00:00,13423,13532.9,1
6/3/22,14:10:00,8154,8220.8,1
6/3/22,14:20:00,11696,11791.8,1
6/3/22,14:30:00,11109,11200,1
6/3/22,14:40:00,10808,10896.5,1
6/3/22,14:50:00,10280,10364.2,1
6/3/22,15:00:00,9776,9856,1
6/3/22,15:10:00,9336,9412.4,1
6/3/22,15:20:00,8819,8891.2,1
6/3/22,15:30:00,7972,8037.3,1
6/3/22,15:40:00,7500,7561.4,1
6/3/22,15:50:00,7123,7181.3,1
6/3/22,16:00:00,6607,6661.1,1
6/3/22,16:10:00,5556,5601.5,1
6/3/22,16:20:00,5457,5501.7,1
6/3/22,16:30:00,5073,5114.5,1
6/3/22,16:40:00,3549,3578.1,1
6/3/22,16:50:00,2507,2527.5,1
6/3/22,17:00:00,2082,2099,1
6/3/22,17:10:00,2471,2491.2,1
6/3/22,17:20:00,1954,1970,1
6/3/22,17:30:00,1259,1269.3,1
6/3/22,17:40:00,861,868,1
6/3/22,17:50:00,732,738,1
6/3/22,18:00:00,564,568.6,1
6/3/22,18:10:00,378,381.1,1
6/3/22,18:20:00,143,144.2,1
6/3/22,18:30:00,30,30.2,1
6/3/22,18:40:00,5,5,1
6/3/22,18:50:00,0,0,1
6/3/22,19:00:00,0,0,1
6/3/22,19:10:00,0,0,1
6/3/22,19:20:00,0,0,1
6/3/22,19:30:00,0,0,1
6/3/22,19:40:00,0,0,1
6/3/22,19:50:00,0,0,1
6/3/22,20:00:00,0,0,1
6/3/22,20:10:00,0,0,1
6/3/22,20:20:00,0,0,1
6/3/22,20:30:00,0,0,1
6/3/22,20:40:00,0,0,1
6/3/22,20:50:00,0,0,1
6/3/22,21:00:00,0,0,1
6/3/22,21:10:00,0,0,1
6/3/22,21:20:00,0,0,1
6/3/22,21:30:00,0,0,1
6/3/22,21:40:00,0,0,1
6/3/22,21:50:00,0,0,1
6/3/22,22:00:00,0,0,1
6/3/22,22:10:00,0,0,1
6/3/22,22:20:00,0,0,1
6/3/22,22:30:00,0,0,1
6/3/22,22:40:00,0,0,1
6/3/22,22:50:00,0,0,1
6/3/22,23:00:00,0,0,1
6/3/22,23:10:00,0,0,1
6/3/22,23:20:00,0,0,1
6/3/22,23:30:00,0,0,1
6/3/22,23:40:00,0,0,1
6/3/22,23:50:00,0,0,1
6/3/22,24:00:00,0,0,1
7/3/22,0:10:00,0,0,1
7/3/22,0:20:00,0,0,1
7/3/22,0:30:00,0,0,1
7/3/22,0:40:00,0,0,1
7/3/22,0:50:00,0,0,1
7/3/22,1:00:00,0,0,1
7/3/22,1:10:00,0,0,1
7/3/22,1:20:00,0,0,1
7/3/22,1:30:00,0,0,1
7/3/22,1:40:00,0,0,1
7/3/22,1:50:00,0,0,1
7/3/22,2:00:00,0,0,1
7/3/22,2:10:00,0,0,1
7/3/22,2:20:00,0,0,1
7/3/22,2:30:00,0,0,1
7/3/22,2:40:00,0,0,1
7/3/22,2:50:00,0,0,1
7/3/22,3:00:00,0,0,1
7/3/22,3:10:00,0,0,1
7/3/22,3:20:00,0,0,1
7/3/22,3:30:00,0,0,1
7/3/22,3:40:00,0,0,1
7/3/22,3:50:00,0,0,1
7/3/22,4:00:00,0,0,1
7/3/22,4:10:00,0,0,1
7/3/22,4:20:00,0,0,1
7/3/22,4:30:00,0,0,1
7/3/22,4:40:00,0,0,1
7/3/22,4:50:00,0,0,1
7/3/22,5:00:00,0,0,1
7/3/22,5:10:00,0,0,1
7/3/22,5:20:00,0,0,1
7/3/22,5:30:00,0,0,1
7/3/22,5:40:00,0,0,1
7/3/22,5:50:00,3,3,1
7/3/22,6:00:00,28,28.2,1
7/3/22,6:10:00,116,116.9,1
7/3/22,6:20:00,277,279.3,1
7/3/22,6:30:00,520,524.3,1
7/3/22,6:40:00,837,843.9,1
7/3/22,6:50:00,1189,1198.7,1
7/3/22,7:00:00,1647,1660.5,1
7/3/22,7:10:00,1913,1928.7,1
7/3/22,7:20:00,2707,2729.2,1
7/3/22,7:30:00,3366,3393.6,1
7/3/22,7:40:00,3864,3895.6,1
7/3/22,7:50:00,4445,4481.4,1
7/3/22,8:00:00,5022,5063.1,1
7/3/22,8:10:00,5558,5603.5,1
7/3/22,8:20:00,6168,6218.5,1
7/3/22,8:30:00,6865,6921.2,1
7/3/22,8:40:00,7534,7595.7,1
7/3/22,8:50:00,8140,8206.6,1
7/3/22,9:00:00,7452,7513,1
7/3/22,9:10:00,1392,1403.4,1
7/3/22,9:20:00,5966,6014.8,1
7/3/22,9:30:00,12080,12178.9,1
7/3/22,9:40:00,11140,11231.2,1
7/3/22,9:50:00,8991,9064.6,1
7/3/22,10:00:00,8959,9032.4,1
7/3/22,10:10:00,12129,12228.3,1
